family	genus	species	taxid	segment	experiment	result_type	cluster	timestamp	last_changed_timestamp	num_input_seqs	num_curated_seqs	num_clusters	rss	elapsed_time	mean_cluster_objective_value	mean_cluster_target_len	mean_cluster_num_primers5	mean_cluster_num_primers3	mean_cluster_num_guides	mean_cluster_guide_set_frac_bound	mean_cluster_guide_set_expected_activity	mean_cluster_guide_set_median_activity	mean_cluster_guide_set_5th_pctile_activity
Astroviridae	Mamastrovirus	Mamastrovirus 1	1239565	None	nonspecific_max-activity	taxon	NA	1589087120	1589087120	33	33	1	1287172.0	2057.57	4.910215119995433	96	1	1	1	1.0	3.2026963703560107	3.268311083316803	3.0404112935066223
Astroviridae	Mamastrovirus	Mamastrovirus 2	1239566	None	nonspecific_max-activity	taxon	NA	1589092234	1589092234	10	2	1	591480.0	2876.15	4.478727892344733	196	1	1	2	1.0	3.500593602657318	3.4817612767219543	3.4817612767219543
Astroviridae	Mamastrovirus	Mamastrovirus 3	1239567	None	nonspecific_max-activity	taxon	NA	1589092698	1589092698	6	1	1	552288.0	2359.53	5.400191852288056	90	1	1	1	1.0	3.6269145011901855	3.6269145011901855	3.6269145011901855
Astroviridae	Mamastrovirus	Mamastrovirus 4	1239568	None	nonspecific_max-activity	taxon	NA	1589093146	1589093146	2	1	1	548920.0	1254.96	5.374767981780317	89	1	1	1	1.0	3.58926323056221	3.58926323056221	3.58926323056221
Astroviridae	Mamastrovirus	Mamastrovirus 5	1239569	None	nonspecific_max-activity	taxon	NA	1589093390	1589093390	2	1	1	548336.0	1050.03	5.3975368750687895	88	1	1	1	1.0	3.599375605583191	3.599375605583191	3.599375605583191
Astroviridae	Mamastrovirus	Mamastrovirus 7	1239571	None	nonspecific_max-activity	taxon	NA	1589093867	1589093867	1	1	1	549296.0	1345.91	5.368340940534717	88	1	1	1	1.0	3.570179671049118	3.570179671049118	3.570179671049118
Astroviridae	Mamastrovirus	Mamastrovirus 9	1239573	None	nonspecific_max-activity	taxon	NA	1589094405	1589094405	4	4	1	631996.0	2696.74	5.327015973938253	89	1	1	1	1.0	3.541511222720146	3.564024567604065	3.4159533381462097
Astroviridae	Mamastrovirus	Mamastrovirus 10	1239574	None	nonspecific_max-activity	taxon	NA	1589087875	1589087875	2	2	1	589036.0	2336.44	5.237817174110358	91	1	1	1	1.0	3.476366251707077	3.4657309651374817	3.4657309651374817
Astroviridae	Mamastrovirus	Mamastrovirus 11	1239575	None	nonspecific_max-activity	taxon	NA	1589088768	1589088768	1	1	1	548164.0	1192.42	5.3513241124745665	88	1	1	1	1.0	3.553162842988968	3.553162842988968	3.553162842988968
Astroviridae	Mamastrovirus	Mamastrovirus 12	1239576	None	nonspecific_max-activity	taxon	NA	1589089181	1589089181	1	1	1	547592.0	1675.16	5.360939056932574	88	1	1	1	1.0	3.5627777874469757	3.5627777874469757	3.5627777874469757
Astroviridae	Mamastrovirus	Mamastrovirus 13	1239577	None	nonspecific_max-activity	taxon	NA	1589089646	1589089646	4	4	1	659780.0	3406.74	5.099214606687457	96	1	1	1	1.0	3.3916958570480347	3.4986384510993958	3.0558913350105286
Astroviridae	Mamastrovirus	Mamastrovirus 14	1239578	None	nonspecific_max-activity	taxon	NA	1589090084	1589090084	1	1	1	548188.0	1197.24	5.395464540779239	88	1	1	1	1.0	3.59730327129364	3.59730327129364	3.59730327129364
Astroviridae	Mamastrovirus	Mamastrovirus 15	1239579	None	nonspecific_max-activity	taxon	NA	1589090491	1589090491	1	1	1	548800.0	1222.39	5.429837824165469	88	1	1	1	1.0	3.6316765546798706	3.6316765546798706	3.6316765546798706
Astroviridae	Mamastrovirus	Mamastrovirus 16	1239580	None	nonspecific_max-activity	taxon	NA	1589090919	1589090919	1	1	1	544556.0	1128.84	5.370487750827914	88	1	1	1	1.0	3.5723264813423157	3.5723264813423157	3.5723264813423157
Astroviridae	Mamastrovirus	Mamastrovirus 17	1239581	None	nonspecific_max-activity	taxon	NA	1589091285	1589091285	1	1	1	546284.0	905.54	5.355553091823703	88	1	1	1	1.0	3.5573918223381042	3.5573918223381042	3.5573918223381042
Astroviridae	Mamastrovirus	Mamastrovirus 18	1239582	None	nonspecific_max-activity	taxon	NA	1589091575	1589091575	1	1	1	553028.0	1619.49	5.363221378385669	88	1	1	1	1.0	3.56506010890007	3.56506010890007	3.56506010890007
Astroviridae	Mamastrovirus	Mamastrovirus 19	1239583	None	nonspecific_max-activity	taxon	NA	1589091839	1589091839	1	1	1	546260.0	1252.69	5.390178622066623	88	1	1	1	1.0	3.592017352581024	3.592017352581024	3.592017352581024
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2b	1239832	None	nonspecific_max-activity	taxon	NA	1588957323	1588957323	5	5	1	635828.0	214.92	5.050805907262113	89	1	1	1	1.0	3.265301156044006	3.3858737349510193	2.894726037979126
Astroviridae	unknown	Astrovirus VA4	1247113	None	nonspecific_max-activity	taxon	NA	1589073957	1589073957	1	1	1	555840.0	1895.32	5.378692985832339	88	1	1	1	1.0	3.5805317163467407	3.5805317163467407	3.5805317163467407
Astroviridae	unknown	Astrovirus MLB3	1247114	None	nonspecific_max-activity	taxon	NA	1589072798	1589072798	1	1	1	553572.0	1434.47	5.384112865984088	88	1	1	1	1.0	3.5859515964984894	3.5859515964984894	3.5859515964984894
Astroviridae	Mamastrovirus	Porcine astrovirus 3	1254425	None	nonspecific_max-activity	taxon	NA	1589094904	1589094904	10	10	1	777320.0	1918.05	5.140222288429386	88	1	1	1	1.0	3.3420610189437867	3.342077910900116	3.277735650539398
Anelloviridae	Gyrovirus	Chicken anemia virus	12618	None	nonspecific_max-activity	taxon	NA	1588952638	1588952638	231	231	1	1782232.0	1076.64	5.302385740427134	88	1	1	1	1.0	3.5042244709415353	3.516344130039215	3.501468777656555
Adenoviridae	Mastadenovirus	Human mastadenovirus A	129875	None	nonspecific_max-activity	taxon	NA	1588744558	1588744558	7	7	1	787784.0	1562.03	5.22328743037972	88	1	1	1	1.0	3.4251261608941213	3.4199185371398926	3.4186142683029175
Adenoviridae	Mastadenovirus	Bovine mastadenovirus B	129950	None	nonspecific_max-activity	taxon	NA	1588733738	1588733738	2	2	1	636476.0	3045.61	5.418934555112964	88	1	1	1	1.0	3.620773285627365	3.620773285627365	3.620773285627365
Adenoviridae	Mastadenovirus	Human mastadenovirus C	129951	None	nonspecific_max-activity	taxon	NA	1588752251	1588752251	60	60	1	1011696.0	1643.42	5.210193781361521	94	1	1	1	1.0	3.4820594916741054	3.5166646242141724	3.216694414615631
Adenoviridae	Mastadenovirus	Bovine mastadenovirus C	129952	None	nonspecific_max-activity	taxon	NA	1588735541	1588735541	1	1	1	537040.0	42.87	5.33382266885007	88	1	1	1	1.0	3.5356613993644714	3.5356613993644714	3.5356613993644714
Adenoviridae	Mastadenovirus	Bovine mastadenovirus A	129953	None	nonspecific_max-activity	taxon	NA	1588732684	1588732684	1	1	1	600964.0	2851.24	5.430616014016416	89	1	1	1	1.0	3.6451112627983093	3.6451112627983093	3.6451112627983093
Adenoviridae	Mastadenovirus	Equine mastadenovirus A	129954	None	nonspecific_max-activity	taxon	NA	1588741348	1588741348	2	2	1	624340.0	2316.60	5.407283076481629	90	1	1	1	1.0	3.6340057253837585	3.6340057253837585	3.6340057253837585
Adenoviridae	Mastadenovirus	Equine mastadenovirus B	129955	None	nonspecific_max-activity	taxon	NA	1588743192	1588743192	1	1	1	599532.0	2845.83	5.416467846691257	88	1	1	1	1.0	3.618306577205658	3.618306577205658	3.618306577205658
Adenoviridae	Mastadenovirus	Human mastadenovirus E	130308	None	nonspecific_max-activity	taxon	NA	1588764337	1588764337	70	70	1	931340.0	3527.76	5.341542437646719	88	1	1	1	1.0	3.54338116816112	3.5493432879447937	3.5332215428352356
Adenoviridae	Mastadenovirus	Human mastadenovirus F	130309	None	nonspecific_max-activity	taxon	NA	1588767868	1588767868	17	17	1	745956.0	2158.20	5.355327849377252	88	1	1	1	1.0	3.5571665798916534	3.5667375922203064	3.5121177434921265
Adenoviridae	Mastadenovirus	Human mastadenovirus D	130310	None	nonspecific_max-activity	taxon	NA	1588756823	1588756823	198	198	1	1812788.0	6042.94	5.356970373884204	91	1	1	1	1.0	3.5955194514809232	3.5993379950523376	3.539559483528137
Adenoviridae	Atadenovirus	Ovine atadenovirus D	130327	None	nonspecific_max-activity	taxon	NA	1588695524	1588695524	1	1	1	577436.0	742.60	5.397076943354416	90	1	1	1	1.0	3.623799592256546	3.623799592256546	3.623799592256546
Adenoviridae	Atadenovirus	Duck atadenovirus A	130328	None	nonspecific_max-activity	taxon	NA	1588692984	1588692984	6	6	1	661236.0	2535.59	5.415041924774295	88	1	1	1	1.0	3.6168806552886963	3.6168806552886963	3.6168806552886963
Adenoviridae	Mastadenovirus	Porcine mastadenovirus B	130370	None	nonspecific_max-activity	taxon	NA	1588784410	1588784410	1	1	1	544124.0	290.25	5.376727671682483	88	1	1	1	1.0	3.578566402196884	3.578566402196884	3.578566402196884
Adenoviridae	Mastadenovirus	Porcine mastadenovirus C	130371	None	nonspecific_max-activity	taxon	NA	1588784938	1588784938	1	1	1	598800.0	2598.75	5.440075330746915	89	1	1	1	1.0	3.6545705795288086	3.6545705795288086	3.6545705795288086
Adenoviridae	Atadenovirus	Bovine atadenovirus D	130499	None	nonspecific_max-activity	taxon	NA	1588691880	1588691880	1	1	1	586196.0	1144.89	5.398959637939578	88	1	1	1	1.0	3.6007983684539795	3.6007983684539795	3.6007983684539795
Adenoviridae	Atadenovirus	Bovine adenovirus E	130500	None	nonspecific_max-activity	taxon	NA	1588691637	1588691637	1	1	1	584192.0	1018.84	5.432514966785556	88	1	1	1	1.0	3.6343536972999573	3.6343536972999573	3.6343536972999573
Circoviridae	Circovirus	Bat circovirus	1329650	None	nonspecific_max-activity	taxon	NA	1589140610	1589140610	1	1	1	541484.0	808.98	5.330025145249176	90	1	1	1	1.0	3.556747794151306	3.556747794151306	3.556747794151306
Circoviridae	Circovirus	Porcine circovirus 1	133704	None	nonspecific_max-activity	taxon	NA	1589147540	1589147540	74	69	1	932684.0	1196.78	5.353704124212777	88	1	1	1	1.0	3.5555428547271783	3.5635136663913727	3.554678499698639
Astroviridae	Avastrovirus	Goose astrovirus	1349999	None	nonspecific_max-activity	taxon	NA	1589080885	1589080885	13	2	1	581040.0	1640.31	5.332979114114886	88	1	1	1	1.0	3.5348178446292877	3.5334131121635437	3.5334131121635437
Circoviridae	unknown	Fur seal faeces associated circular DNA virus	1353241	None	nonspecific_max-activity	taxon	NA	1589134799	1589134799	3	3	1	598796.0	673.97	5.365102800540871	89	1	1	1	1.0	3.579598049322764	3.5864222645759583	3.5659496188163757
Circoviridae	unknown	Circoviridae 1 LDMD-2013	1379692	None	nonspecific_max-activity	taxon	NA	1589128963	1589128963	1	1	1	547852.0	1421.34	5.404887945711261	88	1	1	1	1.0	3.6067266762256622	3.6067266762256622	3.6067266762256622
Circoviridae	unknown	Circoviridae 2 LDMD-2013	1379695	None	nonspecific_max-activity	taxon	NA	1589131932	1589131932	1	1	1	550024.0	1237.51	5.370262415468341	88	1	1	1	1.0	3.5721011459827423	3.5721011459827423	3.5721011459827423
Circoviridae	unknown	Circoviridae 3 LDMD-2013	1379707	None	nonspecific_max-activity	taxon	NA	1589132435	1589132435	1	1	1	543132.0	937.88	5.349770606815463	88	1	1	1	1.0	3.5516093373298645	3.5516093373298645	3.5516093373298645
Circoviridae	unknown	Circoviridae 6 LDMD-2013	1379710	None	nonspecific_max-activity	taxon	NA	1589132677	1589132677	1	1	1	546472.0	986.47	5.332000137626773	88	1	1	1	1.0	3.5338388681411743	3.5338388681411743	3.5338388681411743
Circoviridae	unknown	Circoviridae 7 LDMD-2013	1379711	None	nonspecific_max-activity	taxon	NA	1589133025	1589133025	1	1	1	548440.0	1393.25	5.368290774834898	89	1	1	1	1.0	3.5827860236167908	3.5827860236167908	3.5827860236167908
Circoviridae	unknown	Circoviridae 8 LDMD-2013	1379712	None	nonspecific_max-activity	taxon	NA	1589133269	1589133269	1	1	1	546968.0	1215.91	5.35065713649953	88	1	1	1	1.0	3.5524958670139313	3.5524958670139313	3.5524958670139313
Circoviridae	unknown	Circoviridae 9 LDMD-2013	1379713	None	nonspecific_max-activity	taxon	NA	1589133512	1589133512	1	1	1	547340.0	1117.30	5.4040416109688545	89	1	1	1	1.0	3.6185368597507477	3.6185368597507477	3.6185368597507477
Circoviridae	unknown	Circoviridae 10 LDMD-2013	1379714	None	nonspecific_max-activity	taxon	NA	1589129211	1589129211	1	1	1	546368.0	1253.16	5.373868258058673	88	1	1	1	1.0	3.5757069885730743	3.5757069885730743	3.5757069885730743
Circoviridae	unknown	Circoviridae 11 LDMD-2013	1379715	None	nonspecific_max-activity	taxon	NA	1589129767	1589129767	1	1	1	545216.0	1014.94	5.365961463510638	88	1	1	1	1.0	3.5678001940250397	3.5678001940250397	3.5678001940250397
Circoviridae	unknown	Circoviridae 13 LDMD-2013	1379717	None	nonspecific_max-activity	taxon	NA	1589130171	1589130171	1	1	1	545484.0	794.81	5.355166078865176	88	1	1	1	1.0	3.5570048093795776	3.5570048093795776	3.5570048093795776
Circoviridae	unknown	Circoviridae 14 LDMD-2013	1379718	None	nonspecific_max-activity	taxon	NA	1589130562	1589130562	1	1	1	546320.0	666.51	5.379586638271457	88	1	1	1	1.0	3.581425368785858	3.581425368785858	3.581425368785858
Circoviridae	unknown	Circoviridae 15 LDMD-2013	1379719	None	nonspecific_max-activity	taxon	NA	1589130913	1589130913	1	1	1	547492.0	745.84	5.373998485816267	89	1	1	1	1.0	3.58849373459816	3.58849373459816	3.58849373459816
Circoviridae	unknown	Circoviridae 16 LDMD-2013	1379720	None	nonspecific_max-activity	taxon	NA	1589131155	1589131155	1	1	1	544748.0	930.35	5.360650600254184	88	1	1	1	1.0	3.562489330768585	3.562489330768585	3.562489330768585
Circoviridae	unknown	Circoviridae 17 LDMD-2013	1379721	None	nonspecific_max-activity	taxon	NA	1589131398	1589131398	2	2	1	564460.0	974.87	5.329569162189609	88	1	1	1	1.0	3.53140789270401	3.53140789270401	3.53140789270401
Circoviridae	unknown	Circoviridae 19 LDMD-2013	1379723	None	nonspecific_max-activity	taxon	NA	1589131662	1589131662	1	1	1	542792.0	344.71	5.434161932527667	88	1	1	1	1.0	3.6360006630420685	3.6360006630420685	3.6360006630420685
Circoviridae	unknown	Circoviridae 21 LDMD-2013	1379725	None	nonspecific_max-activity	taxon	NA	1589132192	1589132192	1	1	1	543640.0	764.69	5.42064774161542	88	1	1	1	1.0	3.6224864721298218	3.6224864721298218	3.6224864721298218
Astroviridae	Mamastrovirus	Feline astrovirus 2	1389204	None	nonspecific_max-activity	taxon	NA	1589086190	1589086190	2	2	1	595408.0	3419.24	5.351946525586393	89	1	1	1	1.0	3.566441774368286	3.545201897621155	3.545201897621155
Circoviridae	Circovirus	Pigeon circovirus	1414603	None	nonspecific_max-activity	taxon	NA	1589147298	1589147298	124	124	1	2402404.0	1549.35	5.166179717067749	92	1	1	1	1.0	3.4161797170677493	3.508325517177582	3.2375208735466003
