family	genus	species	taxid	segment	refseqs	neighbor-count
Amalgaviridae	unknown	Zygosaccharomyces bailii virus Z	114871	None	NC_003874	2
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	2	NC_029921	7
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	4	NC_029922	5
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	5	NC_029923	7
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	7	NC_029924	2
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	9	NC_029925	6
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	1	NC_029926	14
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	3	NC_029927	7
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	6	NC_029928	7
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	8	NC_029929	2
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	10	NC_029930	2
Anelloviridae	unknown	Giant panda anellovirus	2016460	None	NC_035192	19
Anelloviridae	unknown	Gorilla anellovirus	1743411	None	NC_030650	1
Anelloviridae	unknown	Lesser panda anellovirus	2012640	None	NC_040531	1
Anelloviridae	unknown	Rodent Torque teno virus 2	1514665	None	NC_025966	4
Anelloviridae	unknown	Rodent Torque teno virus 3	2054610	None	NC_040686,NC_040617,NC_040546	3
Anelloviridae	unknown	Rodent Torque teno virus 4	2054611	None	NC_040547,NC_040801	7
Anelloviridae	unknown	Rodent Torque teno virus 6	2054613	None	NC_040618	1
Anelloviridae	unknown	Rodent Torque teno virus 7	2054614	None	NC_040687	1
Anelloviridae	unknown	Seal anellovirus 2	1427157	None	NC_024891	1
Anelloviridae	unknown	Seal anellovirus 3	1427156	None	NC_024890	3
Anelloviridae	unknown	Seal anellovirus 4	1566011	None	NC_026138	2
Anelloviridae	unknown	Seal anellovirus TFFN/USA/2006	991022	None	NC_015212	1
Anelloviridae	unknown	Small anellovirus	393049	None	NC_007014,NC_007013,NC_007013	2
Anelloviridae	unknown	Torque teno Leptonychotes weddellii virus-2	2012677	None	NC_035135	19
Anelloviridae	unknown	Torque teno Tadarida brasiliensis virus	1543419	None	NC_024908	1
Anelloviridae	unknown	Torque teno indri virus 1	2010248	None	NC_034978	1
Anelloviridae	unknown	Torque teno virus	68887	None	NC_015783	150
Anelloviridae	Alphatorquevirus	Simian torque teno virus 30	1619218	None	NC_026663	1
Anelloviridae	Alphatorquevirus	Simian torque teno virus 31	1619219	None	NC_026662	1
Anelloviridae	Alphatorquevirus	Simian torque teno virus 32	1619220	None	NC_026664	1
Anelloviridae	Alphatorquevirus	Simian torque teno virus 33	1629656	None	NC_026764	1
Anelloviridae	Alphatorquevirus	Simian torque teno virus 34	1629657	None	NC_026765	1
Anelloviridae	Alphatorquevirus	Torque teno virus 1	687340	None	NC_002076	2
Anelloviridae	Alphatorquevirus	Torque teno virus 10	687349	None	NC_014076	2
Anelloviridae	Alphatorquevirus	Torque teno virus 11	687350	None	NC_038338	1
Anelloviridae	Alphatorquevirus	Torque teno virus 12	687351	None	NC_014075	1
Anelloviridae	Alphatorquevirus	Torque teno virus 13	687352	None	NC_038339	1
Anelloviridae	Alphatorquevirus	Torque teno virus 14	687353	None	NC_014077	1
Anelloviridae	Alphatorquevirus	Torque teno virus 15	687354	None	NC_014096	1
Anelloviridae	Alphatorquevirus	Torque teno virus 16	687355	None	NC_014091	1
Anelloviridae	Alphatorquevirus	Torque teno virus 19	687358	None	NC_014078	1
Anelloviridae	Alphatorquevirus	Torque teno virus 2	687341	None	NC_014480	1
Anelloviridae	Alphatorquevirus	Torque teno virus 20	687359	None	NC_038340	1
Anelloviridae	Alphatorquevirus	Torque teno virus 21	687360	None	NC_038341	1
Anelloviridae	Alphatorquevirus	Torque teno virus 23	687362	None	NC_038342	1
Anelloviridae	Alphatorquevirus	Torque teno virus 24	687363	None	NC_038343	1
Anelloviridae	Alphatorquevirus	Torque teno virus 25	687364	None	NC_014083	1
Anelloviridae	Alphatorquevirus	Torque teno virus 26	687365	None	NC_014079	1
Anelloviridae	Alphatorquevirus	Torque teno virus 27	687366	None	NC_014074	1
Anelloviridae	Alphatorquevirus	Torque teno virus 28	687367	None	NC_014073	1
Anelloviridae	Alphatorquevirus	Torque teno virus 29	687368	None	NC_038344	1
Anelloviridae	Alphatorquevirus	Torque teno virus 3	687342	None	NC_014081	1
Anelloviridae	Alphatorquevirus	Torque teno virus 4	687343	None	NC_014069	1
Anelloviridae	Alphatorquevirus	Torque teno virus 5	687344	None	NC_038336	1
Anelloviridae	Alphatorquevirus	Torque teno virus 6	687345	None	NC_014094	1
Anelloviridae	Alphatorquevirus	Torque teno virus 7	687346	None	NC_014080	3
Anelloviridae	Alphatorquevirus	Torque teno virus 8	687347	None	NC_014084	1
Anelloviridae	Alphatorquevirus	Torque teno virus 9	687348	None	NC_038337	1
Anelloviridae	Betatorquevirus	TTV-like mini virus	93678	None	NC_020498	17
Anelloviridae	Betatorquevirus	Torque teno mini virus 1	687369	None	NC_014097	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 10	2065036	None	NC_038345	24
Anelloviridae	Betatorquevirus	Torque teno mini virus 11	2065037	None	NC_038346	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 12	2065038	None	NC_038347	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 18	1859149	None	NC_030297	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 2	687370	None	NC_014086	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 3	687371	None	NC_014088	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 4	687372	None	NC_014090	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 5	687373	None	NC_014089	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 6	687374	None	NC_014095	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 7	687375	None	NC_014082	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 8	687376	None	NC_014068	1
Anelloviridae	Betatorquevirus	Torque teno mini virus 9	687377	None	NC_002195	2
Anelloviridae	Betatorquevirus	Torque teno mini virus ALA22	1535290	None	NC_025726	1
Anelloviridae	Betatorquevirus	Torque teno mini virus ALH8	1535291	None	NC_025727	1
Anelloviridae	Deltatorquevirus	Torque teno tupaia virus	687381	None	NC_038348	1
Anelloviridae	Epsilontorquevirus	Torque teno tamarin virus	687382	None	NC_014085	1
Anelloviridae	Etatorquevirus	Torque teno felis virus	687384	None	NC_014072	10
Anelloviridae	Etatorquevirus	Torque teno felis virus 2	2065043	None	NC_038349	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 1	687379	None	NC_009225	2
Anelloviridae	Gammatorquevirus	Torque teno midi virus 10	2065051	None	NC_038357	2
Anelloviridae	Gammatorquevirus	Torque teno midi virus 11	2065052	None	NC_038358	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 12	2065053	None	NC_038359	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 13	2065054	None	NC_038360	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 14	2065055	None	NC_038361	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 15	2065056	None	NC_038362	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 2	687380	None	NC_014093	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 3	2065044	None	NC_038350	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 4	2065045	None	NC_038351	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 5	2065046	None	NC_038352	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 6	2065047	None	NC_038353	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 7	2065048	None	NC_038354	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 8	2065049	None	NC_038355	1
Anelloviridae	Gammatorquevirus	Torque teno midi virus 9	2065050	None	NC_038356	1
Anelloviridae	Gyrovirus	Ashy storm petrel gyrovirus	2249930	None	NC_040720	1
Anelloviridae	Gyrovirus	Avian gyrovirus 2	1002273	None	NC_015396	28
Anelloviridae	Gyrovirus	Chicken anemia virus	12618	None	NC_001427	176
Anelloviridae	Gyrovirus	Gyrovirus 4	1214955	None	NC_018401	4
Anelloviridae	Gyrovirus	Gyrovirus GyV3	1163715	None	NC_017091	3
Anelloviridae	Gyrovirus	Gyrovirus GyV7-SF	1548711	None	NC_025215	1
Anelloviridae	Gyrovirus	Gyrovirus GyV8	1670973	None	NC_027430	1
Anelloviridae	Gyrovirus	Gyrovirus Tu243	1415627	None	NC_022788	1
Anelloviridae	Gyrovirus	Gyrovirus Tu789	1415628	None	NC_022789	1
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1a	687386	None	NC_014070	47
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1b	687387	None	NC_027059	66
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2a	1968861	None	NC_014092	10
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2b	1239832	None	NC_038363	5
Anelloviridae	Lambdatorquevirus	Torque teno seal virus 8	2560820	None	NC_035136	133
Anelloviridae	Lambdatorquevirus	Torque teno zalophus virus 1	1218490	None	NC_012126	1
Anelloviridae	Mutorquevirus	Torque teno equus virus 1	1673633	None	NC_040668	1
Anelloviridae	Thetatorquevirus	Torque teno canis virus	687385	None	NC_014071	11
Anelloviridae	Zetatorquevirus	Torque teno douroucouli virus	687383	None	NC_014087	1
Arenaviridae	unknown	Morogoro mammarenavirus	573900	S	NC_013057	1
Arenaviridae	unknown	Morogoro mammarenavirus	573900	L	NC_013058	1
Arenaviridae	unknown	Wenling frogfish arenavirus 1	2116466	M	NC_040426	1
Arenaviridae	unknown	Wenling frogfish arenavirus 1	2116466	S	NC_040427	1
Arenaviridae	unknown	Wenling frogfish arenavirus 1	2116466	L	NC_040428	1
Arenaviridae	unknown	Wenling frogfish arenavirus 2	2116467	S	NC_040464	2
Arenaviridae	unknown	Wenling frogfish arenavirus 2	2116467	L	NC_040465	2
Arenaviridae	unknown	Wenling frogfish arenavirus 2	2116467	M	NC_040466	2
Arenaviridae	Arenavirus	Mopeia Lassa virus reassortant 29	300180	L	NC_006572	23
Arenaviridae	Arenavirus	Mopeia Lassa virus reassortant 29	300180	S	NC_006573	23
Arenaviridae	Hartmanivirus	Haartman hartmanivirus	2169909	L	NC_043443	1
Arenaviridae	Hartmanivirus	Haartman hartmanivirus	2169909	S	NC_043444	1
Arenaviridae	Mammarenavirus	Allpahuayo mammarenavirus	144752	L	NC_010249	1
Arenaviridae	Mammarenavirus	Allpahuayo mammarenavirus	144752	S	NC_010253	3
Arenaviridae	Mammarenavirus	Apore mammarenavirus	2059312	S	NC_040762	1
Arenaviridae	Mammarenavirus	Apore mammarenavirus	2059312	L	NC_040763	1
Arenaviridae	Mammarenavirus	Argentinian mammarenavirus	2169991	L	NC_005080	20
Arenaviridae	Mammarenavirus	Argentinian mammarenavirus	2169991	S	NC_005081	34
Arenaviridae	Mammarenavirus	Bear Canyon mammarenavirus	192848	L	NC_010255	2
Arenaviridae	Mammarenavirus	Bear Canyon mammarenavirus	192848	S	NC_010256	3
Arenaviridae	Mammarenavirus	Brazilian mammarenavirus	2169992	L	NC_006313	3
Arenaviridae	Mammarenavirus	Brazilian mammarenavirus	2169992	S	NC_006317	2
Arenaviridae	Mammarenavirus	Cali mammarenavirus	2169993	L	NC_006439	4
Arenaviridae	Mammarenavirus	Cali mammarenavirus	2169993	S	NC_006447	11
Arenaviridae	Mammarenavirus	Chapare mammarenavirus	499556	S	NC_010562	1
Arenaviridae	Mammarenavirus	Chapare mammarenavirus	499556	L	NC_010563	1
Arenaviridae	Mammarenavirus	Cupixi mammarenavirus	208899	L	NC_010252	1
Arenaviridae	Mammarenavirus	Cupixi mammarenavirus	208899	S	NC_010254	1
Arenaviridae	Mammarenavirus	Flexal mammarenavirus	45220	S	NC_010757	2
Arenaviridae	Mammarenavirus	Flexal mammarenavirus	45220	L	NC_010759	1
Arenaviridae	Mammarenavirus	Gairo mammarenavirus	1535802	S	NC_026246	1
Arenaviridae	Mammarenavirus	Gairo mammarenavirus	1535802	L	NC_026247	1
Arenaviridae	Mammarenavirus	Guanarito mammarenavirus	45219	S	NC_005077	28
Arenaviridae	Mammarenavirus	Guanarito mammarenavirus	45219	L	NC_005082	17
Arenaviridae	Mammarenavirus	Ippy mammarenavirus	55096	S	NC_007905	1
Arenaviridae	Mammarenavirus	Ippy mammarenavirus	55096	L	NC_007906	1
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	11620	S	NC_004296	308
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	11620	L	NC_004297	234
Arenaviridae	Mammarenavirus	Latino mammarenavirus	45221	S	NC_010758	3
Arenaviridae	Mammarenavirus	Latino mammarenavirus	45221	L	NC_010760	1
Arenaviridae	Mammarenavirus	Loei River mammarenavirus	1437126	S	NC_038364	3
Arenaviridae	Mammarenavirus	Loei River mammarenavirus	1437126	L	NC_038365	2
Arenaviridae	Mammarenavirus	Lujo mammarenavirus	649188	S	NC_012776	2
Arenaviridae	Mammarenavirus	Lujo mammarenavirus	649188	L	NC_012777	2
Arenaviridae	Mammarenavirus	Luna mammarenavirus	883876	S	NC_016152	6
Arenaviridae	Mammarenavirus	Luna mammarenavirus	883876	L	NC_016153	6
Arenaviridae	Mammarenavirus	Lunk mammarenavirus	1912901	S	NC_018710	1
Arenaviridae	Mammarenavirus	Lunk mammarenavirus	1912901	L	NC_018711	1
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	11623	L	NC_004291	33
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	11623	S	NC_004294	45
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	11628	S	NC_005078	26
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	11628	L	NC_005079	17
Arenaviridae	Mammarenavirus	Mariental mammarenavirus	1642436	S	NC_027134	1
Arenaviridae	Mammarenavirus	Mariental mammarenavirus	1642436	L	NC_027136	1
Arenaviridae	Mammarenavirus	Merino Walk mammarenavirus	743685	L	NC_023763	1
Arenaviridae	Mammarenavirus	Merino Walk mammarenavirus	743685	S	NC_023764	1
Arenaviridae	Mammarenavirus	Mobala mammarenavirus	55097	S	NC_007903	1
Arenaviridae	Mammarenavirus	Mobala mammarenavirus	55097	L	NC_007904	1
Arenaviridae	Mammarenavirus	Mopeia mammarenavirus	11629	L	NC_006574	4
Arenaviridae	Mammarenavirus	Mopeia mammarenavirus	11629	S	NC_006575	4
Arenaviridae	Mammarenavirus	Okahandja mammarenavirus	1642458	S	NC_027135	1
Arenaviridae	Mammarenavirus	Okahandja mammarenavirus	1642458	L	NC_027137	1
Arenaviridae	Mammarenavirus	Oliveros mammarenavirus	42764	S	NC_010248	2
Arenaviridae	Mammarenavirus	Oliveros mammarenavirus	42764	L	NC_010250	1
Arenaviridae	Mammarenavirus	Paraguayan mammarenavirus	2169994	S	NC_010756	2
Arenaviridae	Mammarenavirus	Paraguayan mammarenavirus	2169994	L	NC_010761	1
Arenaviridae	Mammarenavirus	Pirital mammarenavirus	49891	S	NC_005894	9
Arenaviridae	Mammarenavirus	Pirital mammarenavirus	49891	L	NC_005897	2
Arenaviridae	Mammarenavirus	Ryukyu mammarenavirus	2169995	S	NC_039009	1
Arenaviridae	Mammarenavirus	Ryukyu mammarenavirus	2169995	L	NC_039010	1
Arenaviridae	Mammarenavirus	Serra do Navio mammarenavirus	2169996	S	NC_010247	2
Arenaviridae	Mammarenavirus	Serra do Navio mammarenavirus	2169996	L	NC_010251	2
Arenaviridae	Mammarenavirus	Solwezi mammarenavirus	2030986	L	NC_038366	1
Arenaviridae	Mammarenavirus	Solwezi mammarenavirus	2030986	S	NC_038367	1
Arenaviridae	Mammarenavirus	Souris mammarenavirus	2169997	L	NC_039011	1
Arenaviridae	Mammarenavirus	Souris mammarenavirus	2169997	S	NC_039012	1
Arenaviridae	Mammarenavirus	Tacaribe mammarenavirus	11631	L	NC_004292	2
Arenaviridae	Mammarenavirus	Tacaribe mammarenavirus	11631	S	NC_004293	3
Arenaviridae	Mammarenavirus	Tamiami mammarenavirus	45223	S	NC_010701	3
Arenaviridae	Mammarenavirus	Tamiami mammarenavirus	45223	L	NC_010702	2
Arenaviridae	Mammarenavirus	Wenzhou mammarenavirus	1588685	S	NC_026018	9
Arenaviridae	Mammarenavirus	Wenzhou mammarenavirus	1588685	L	NC_026019	9
Arenaviridae	Mammarenavirus	Whitewater Arroyo mammarenavirus	46919	S	NC_010700	15
Arenaviridae	Mammarenavirus	Whitewater Arroyo mammarenavirus	46919	L	NC_010703	2
Arenaviridae	Reptarenavirus	Alethinophid 2 reptarenavirus	1653398	L	NC_023765	3
Arenaviridae	Reptarenavirus	Alethinophid 2 reptarenavirus	1653398	S	NC_023766	2
Arenaviridae	Reptarenavirus	California reptarenavirus	2170175	S	NC_018481	1
Arenaviridae	Reptarenavirus	California reptarenavirus	2170175	L	NC_018484	1
Arenaviridae	Reptarenavirus	Giessen reptarenavirus	2170176	S	NC_039005	7
Arenaviridae	Reptarenavirus	Giessen reptarenavirus	2170176	L	NC_039006	3
Arenaviridae	Reptarenavirus	Golden reptarenavirus	2170177	L	NC_018482	1
Arenaviridae	Reptarenavirus	Golden reptarenavirus	2170177	S	NC_018483	1
Arenaviridae	Reptarenavirus	Ordinary reptarenavirus	2170178	S	NC_039007	1
Arenaviridae	Reptarenavirus	Ordinary reptarenavirus	2170178	L	NC_039008	4
Arenaviridae	Reptarenavirus	Rotterdam reptarenavirus	2170179	S	NC_023761	1
Arenaviridae	Reptarenavirus	Rotterdam reptarenavirus	2170179	L	NC_023762	1
Arteriviridae	unknown	Porcine reproductive and respiratory syndrome virus	28344	None	NC_001961	993
Arteriviridae	unknown	Rodent arterivirus	1806636	None	NC_040535	1
Arteriviridae	unknown	Southwest baboon virus 1	1546178	None	NC_025113	4
Arteriviridae	Alphaarterivirus	Alphaarterivirus equid	2499620	None	NC_002532	91
Arteriviridae	Betaarterivirus	Betaarterivirus chinrav 1	2499930	None	NC_032987,NC_028963	2
Arteriviridae	Betaarterivirus	Betaarterivirus suid 1	2499680	None	NC_043487	6
Arteriviridae	Betaarterivirus	Betaarterivirus suid 2	2499685	None	NC_038291	21
Arteriviridae	Deltaarterivirus	Deltaarterivirus pejah	2499623	None	NC_027124	3
Arteriviridae	Epsilonarterivirus	Epsilonarterivirus hemcep	2501964	None	NC_038293	1
Arteriviridae	Epsilonarterivirus	Epsilonarterivirus safriver	2501965	None	NC_029992	18
Arteriviridae	Etaarterivirus	Etaarterivirus ugarco 1	2501969	None	NC_034455	28
Arteriviridae	Iotaarterivirus	Iotaarterivirus debrazmo	2501947	None	NC_026509	1
Arteriviridae	Iotaarterivirus	Iotaarterivirus kibreg 1	2501948	None	NC_038292	1
Arteriviridae	Kappaarterivirus	Kappaarterivirus wobum	2499677	None	NC_026811	2
Arteriviridae	Lambdaarterivirus	Lambdaarterivirus afriporav	2499621	None	NC_026439	1
Arteriviridae	Muarterivirus	Muarterivirus afrigant	2499618	None	NC_035127	1
Arteriviridae	Porartevirus	Lactate dehydrogenase-elevating virus	11048	None	NC_001639	3
Arteriviridae	Simartevirus	Kafue kinda chacma baboon virus	1823757	None	NC_029053	2
Arteriviridae	Simartevirus	Mikumi yellow baboon virus 1	1546177	None	NC_025112	11
Arteriviridae	Simartevirus	Simian hemorrhagic fever virus	38143	None	NC_003092	10
Arteriviridae	Zetaarterivirus	Zetaarterivirus ugarco 1	2499932	None	NC_033553	49
Asfarviridae	Asfivirus	African swine fever virus	10497	None	NC_044941,NC_044942,NC_001659	43
Astroviridae	unknown	Astrovirus Er/SZAL6/HUN/2011	1671382	None	NC_027426	1
Astroviridae	unknown	Astrovirus MLB2	683172	None	NC_016155	3
Astroviridae	unknown	Astrovirus MLB3	1247114	None	NC_019028	1
Astroviridae	unknown	Astrovirus VA3	683174	None	NC_019026	1
Astroviridae	unknown	Astrovirus VA4	1247113	None	NC_019027	1
