name	taxid
Bovine astrovirus B170/HK	1027244
Bovine astrovirus B18/HK	1027245
Bovine astrovirus B76-2/HK	1027247
Bovine astrovirus B76/HK	1027248
Burkina Faso astrovirus	1518574
Canine astrovirus	1157338
Dromedary astrovirus	1662272
Feline astrovirus 2	1389204
HMO Astrovirus A	682382
Mamastrovirus 1	1239565
Mamastrovirus 10	1239574
Mamastrovirus 11	1239575
Mamastrovirus 12	1239576
Mamastrovirus 13	1239577
Mamastrovirus 14	1239578
Mamastrovirus 15	1239579
Mamastrovirus 16	1239580
Mamastrovirus 17	1239581
Mamastrovirus 18	1239582
Mamastrovirus 19	1239583
Mamastrovirus 2	1239566
Mamastrovirus 3	1239567
Mamastrovirus 4	1239568
Mamastrovirus 5	1239569
Mamastrovirus 7	1239571
Mamastrovirus 9	1239573
Porcine astrovirus 2	1105378
Porcine astrovirus 3	1254425
Porcine astrovirus 4	1105379
Qinghai Himalayan marmot astrovirus 1	1961665
Qinghai Himalayan marmot astrovirus 2	1961666
Rabbit astrovirus TN/2208/2010	1161132
Rodent astrovirus	1914442
Espirito Santo virus	1127767
Infectious pancreatic necrosis virus	11002
Tasmanian aquabirnavirus	1721090
Tellina virus	359995
Victorian trout aquabirnavirus	1661392
Yellowtail ascites virus	59816
Infectious bursal disease virus	10995
Blotched snakehead virus	311176
Queensland carbovirus	2136037
Southwest carbovirus	2136038
Elapid 1 orthobornavirus	1881950
Mammalian 1 orthobornavirus	1714619
Mammalian 2 orthobornavirus	1897087
Passeriform 1 orthobornavirus	1548720
Passeriform 2 orthobornavirus	1548721
Psittaciform 1 orthobornavirus	1548713
Psittaciform 2 orthobornavirus	1884878
Waterbird 1 orthobornavirus	1548722
Calicivirus isolate TCG	243550
Fathead minnow calicivirus	1949201
Goose calicivirus	1493858
St-Valerien swine virus	646294
Bavaria virus	2560343
European brown hare syndrome virus	33756
Rabbit calicivirus Australia 1 MIC-07	576948
Rabbit hemorrhagic disease virus	11976
Nacovirus A	2560612
Bovine calicivirus strain Kirklareli	1812179
Newbury 1 virus	2170030
Marmot norovirus	2161807
Norwalk virus	11983
Primate norovirus	1903318
Nordland virus	2560615
Bat sapovirus	1959930
Bat sapovirus TLC58/HK	1185359
Sapporo virus	95342
Canine calicivirus	1176484
Feline calicivirus	11978
Hom-1 vesivirus	1960046
Mink calicivirus	154122
Rabbit vesivirus	303317
San Miguel sea lion virus 8	1564182
Steller sea lion vesivirus	436911
Vesicular exanthema of swine virus	35612
Vesivirus ferret badger/JX12/China/2012	1615583
Apteryx rowi circovirus-like virus	1634476
Chimpanzee faeces associated circular DNA virus 1	1676184
Circoviridae 1 LDMD-2013	1379692
Circoviridae 10 LDMD-2013	1379714
Circoviridae 11 LDMD-2013	1379715
