family	genus	species	taxid	segment	refseqs
Adenoviridae	Mastadenovirus	Equine mastadenovirus B	129955	None	NC_027705
Adenoviridae	Mastadenovirus	Human mastadenovirus A	129875	None	NC_001460
Adenoviridae	Mastadenovirus	Human mastadenovirus B	108098	None	NC_011203,NC_011202
Adenoviridae	Mastadenovirus	Human mastadenovirus C	129951	None	NC_001405
Adenoviridae	Mastadenovirus	Human mastadenovirus D	130310	None	NC_010956,NC_012959
Adenoviridae	Mastadenovirus	Human mastadenovirus E	130308	None	NC_017825
Adenoviridae	Mastadenovirus	Human mastadenovirus F	130309	None	NC_001454
Adenoviridae	Mastadenovirus	Human mastadenovirus G	536079	None	NC_006879
Adenoviridae	Mastadenovirus	Murine mastadenovirus A	129956	None	NC_000942
Adenoviridae	Mastadenovirus	Murine mastadenovirus B	1146873	None	NC_014899
Adenoviridae	Mastadenovirus	Murine mastadenovirus C	696859	None	NC_012584
Adenoviridae	Mastadenovirus	Ovine mastadenovirus A	114424	None	NC_002513
Adenoviridae	Mastadenovirus	Platyrrhini mastadenovirus A	1986022	None	NC_020487
Adenoviridae	Mastadenovirus	Polar bear mastadenovirus 1	2250215	None	NC_040811
Adenoviridae	Mastadenovirus	Porcine mastadenovirus B	130370	None	NC_038334
Adenoviridae	Mastadenovirus	Porcine mastadenovirus C	130371	None	NC_002702
Adenoviridae	Mastadenovirus	Sea lion mastadenovirus A	1986024	None	NC_024150
Adenoviridae	Mastadenovirus	Simian adenovirus 19	38416	None	NC_028107
Adenoviridae	Mastadenovirus	Simian adenovirus 8	413258	None	NC_028113
Adenoviridae	Mastadenovirus	Simian adenovirus B	1165908	None	NC_034382
Adenoviridae	Mastadenovirus	Simian mastadenovirus A	298334	None	NC_006144
Adenoviridae	Mastadenovirus	Simian mastadenovirus B	1962299	None	NC_015225
Adenoviridae	Mastadenovirus	Simian mastadenovirus C	1962300	None	NC_021168
Adenoviridae	Mastadenovirus	Simian mastadenovirus D	1986017	None	NC_028103
Adenoviridae	Mastadenovirus	Simian mastadenovirus E	1986018	None	NC_028105
Adenoviridae	Mastadenovirus	Simian mastadenovirus F	1986019	None	NC_022266
Adenoviridae	Mastadenovirus	Simian mastadenovirus G	1986020	None	NC_020485
Adenoviridae	Mastadenovirus	Simian mastadenovirus H	1986021	None	NC_025678
Adenoviridae	Mastadenovirus	Simian mastadenovirus I	2170002	None	NC_032105
Adenoviridae	Mastadenovirus	Skunk mastadenovirus A	1986023	None	NC_027708
Adenoviridae	Mastadenovirus	Squirrel mastadenovirus A	2170003	None	NC_035207
Adenoviridae	Mastadenovirus	Tree shrew mastadenovirus A	242710	None	NC_044936
Adenoviridae	Mastadenovirus	unidentified adenovirus	10535	None	NC_030116
Adenoviridae	Siadenovirus	Frog siadenovirus A	298331	None	NC_002501
Adenoviridae	Siadenovirus	Great tit siadenovirus A	1146876	None	NC_043405
Adenoviridae	Siadenovirus	Raptor siadenovirus A	691961	None	NC_015455
Adenoviridae	Siadenovirus	Skua siadenovirus A	886980	None	NC_016437
Adenoviridae	Siadenovirus	Turkey siadenovirus A	298333	None	NC_001958
Adomaviridae	unknown	Rhynchobatus djiddensis adomavirus 1	2175117	None	NC_040625
Adomaviridae	unknown	Symphysodon discus adomavirus 1	2175118	None	NC_040698
Alloherpesviridae	Batrachovirus	Ranid herpesvirus 1	85655	None	NC_008211
Alloherpesviridae	Batrachovirus	Ranid herpesvirus 2	389214	None	NC_008210
Alloherpesviridae	Batrachovirus	Ranid herpesvirus 3	1987509	None	NC_034618
Alloherpesviridae	Cyprinivirus	Anguillid herpesvirus 1	150286	None	NC_013668
Alloherpesviridae	Cyprinivirus	Cyprinid herpesvirus 1	317858	None	NC_019491
Alloherpesviridae	Cyprinivirus	Cyprinid herpesvirus 2	317878	None	NC_019495
Alloherpesviridae	Cyprinivirus	Cyprinid herpesvirus 3	180230	None	NC_009127
Alloherpesviridae	Ictalurivirus	Acipenserid herpesvirus 2	320884	None	NC_043042
Alloherpesviridae	Ictalurivirus	Ictalurid herpesvirus 1	10401	None	NC_001493
Alloherpesviridae	Ictalurivirus	Ictalurid herpesvirus 2	508441	None	NC_036579
Amalgaviridae	unknown	Zygosaccharomyces bailii virus Z	114871	None	NC_003874
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	2	NC_029921
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	4	NC_029922
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	5	NC_029923
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	7	NC_029924
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	9	NC_029925
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	1	NC_029926
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	3	NC_029927
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	6	NC_029928
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	8	NC_029929
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	10	NC_029930
Anelloviridae	unknown	Giant panda anellovirus	2016460	None	NC_035192
Anelloviridae	unknown	Gorilla anellovirus	1743411	None	NC_030650
Anelloviridae	unknown	Lesser panda anellovirus	2012640	None	NC_040531
Anelloviridae	unknown	Rodent Torque teno virus 2	1514665	None	NC_025966
Anelloviridae	unknown	Rodent Torque teno virus 3	2054610	None	NC_040686,NC_040617,NC_040546
Anelloviridae	unknown	Rodent Torque teno virus 4	2054611	None	NC_040547,NC_040801
Anelloviridae	unknown	Rodent Torque teno virus 6	2054613	None	NC_040618
Anelloviridae	unknown	Rodent Torque teno virus 7	2054614	None	NC_040687
Anelloviridae	unknown	Seal anellovirus 2	1427157	None	NC_024891
Anelloviridae	unknown	Seal anellovirus 3	1427156	None	NC_024890
Anelloviridae	unknown	Seal anellovirus 4	1566011	None	NC_026138
Anelloviridae	unknown	Seal anellovirus TFFN/USA/2006	991022	None	NC_015212
Anelloviridae	unknown	Small anellovirus	393049	None	NC_007014,NC_007013,NC_007013
Anelloviridae	unknown	Torque teno Leptonychotes weddellii virus-2	2012677	None	NC_035135
Anelloviridae	unknown	Torque teno Tadarida brasiliensis virus	1543419	None	NC_024908
Anelloviridae	unknown	Torque teno indri virus 1	2010248	None	NC_034978
Anelloviridae	unknown	Torque teno virus	68887	None	NC_015783
Anelloviridae	Alphatorquevirus	Simian torque teno virus 30	1619218	None	NC_026663
Anelloviridae	Alphatorquevirus	Simian torque teno virus 31	1619219	None	NC_026662
Anelloviridae	Alphatorquevirus	Simian torque teno virus 32	1619220	None	NC_026664
Anelloviridae	Alphatorquevirus	Simian torque teno virus 33	1629656	None	NC_026764
Anelloviridae	Alphatorquevirus	Simian torque teno virus 34	1629657	None	NC_026765
Anelloviridae	Alphatorquevirus	Torque teno virus 1	687340	None	NC_002076
Anelloviridae	Alphatorquevirus	Torque teno virus 10	687349	None	NC_014076
Anelloviridae	Alphatorquevirus	Torque teno virus 11	687350	None	NC_038338
Anelloviridae	Alphatorquevirus	Torque teno virus 12	687351	None	NC_014075
Anelloviridae	Alphatorquevirus	Torque teno virus 13	687352	None	NC_038339
Anelloviridae	Alphatorquevirus	Torque teno virus 14	687353	None	NC_014077
Anelloviridae	Alphatorquevirus	Torque teno virus 15	687354	None	NC_014096
Anelloviridae	Alphatorquevirus	Torque teno virus 16	687355	None	NC_014091
Anelloviridae	Alphatorquevirus	Torque teno virus 19	687358	None	NC_014078
Anelloviridae	Alphatorquevirus	Torque teno virus 2	687341	None	NC_014480
Anelloviridae	Alphatorquevirus	Torque teno virus 20	687359	None	NC_038340
Anelloviridae	Alphatorquevirus	Torque teno virus 21	687360	None	NC_038341
Anelloviridae	Alphatorquevirus	Torque teno virus 23	687362	None	NC_038342
Anelloviridae	Alphatorquevirus	Torque teno virus 24	687363	None	NC_038343
Anelloviridae	Alphatorquevirus	Torque teno virus 25	687364	None	NC_014083
Anelloviridae	Alphatorquevirus	Torque teno virus 26	687365	None	NC_014079
Anelloviridae	Alphatorquevirus	Torque teno virus 27	687366	None	NC_014074
Anelloviridae	Alphatorquevirus	Torque teno virus 28	687367	None	NC_014073
Anelloviridae	Alphatorquevirus	Torque teno virus 29	687368	None	NC_038344
Anelloviridae	Alphatorquevirus	Torque teno virus 3	687342	None	NC_014081
Anelloviridae	Alphatorquevirus	Torque teno virus 4	687343	None	NC_014069
Anelloviridae	Alphatorquevirus	Torque teno virus 5	687344	None	NC_038336
Anelloviridae	Alphatorquevirus	Torque teno virus 6	687345	None	NC_014094
Anelloviridae	Alphatorquevirus	Torque teno virus 7	687346	None	NC_014080
Anelloviridae	Alphatorquevirus	Torque teno virus 8	687347	None	NC_014084
Anelloviridae	Alphatorquevirus	Torque teno virus 9	687348	None	NC_038337
Anelloviridae	Betatorquevirus	TTV-like mini virus	93678	None	NC_020498
Anelloviridae	Betatorquevirus	Torque teno mini virus 1	687369	None	NC_014097
Anelloviridae	Betatorquevirus	Torque teno mini virus 10	2065036	None	NC_038345
Anelloviridae	Betatorquevirus	Torque teno mini virus 11	2065037	None	NC_038346
Anelloviridae	Betatorquevirus	Torque teno mini virus 12	2065038	None	NC_038347
Anelloviridae	Betatorquevirus	Torque teno mini virus 18	1859149	None	NC_030297
Anelloviridae	Betatorquevirus	Torque teno mini virus 2	687370	None	NC_014086
Anelloviridae	Betatorquevirus	Torque teno mini virus 3	687371	None	NC_014088
Anelloviridae	Betatorquevirus	Torque teno mini virus 4	687372	None	NC_014090
Anelloviridae	Betatorquevirus	Torque teno mini virus 5	687373	None	NC_014089
Anelloviridae	Betatorquevirus	Torque teno mini virus 6	687374	None	NC_014095
Anelloviridae	Betatorquevirus	Torque teno mini virus 7	687375	None	NC_014082
Anelloviridae	Betatorquevirus	Torque teno mini virus 8	687376	None	NC_014068
Anelloviridae	Betatorquevirus	Torque teno mini virus 9	687377	None	NC_002195
Anelloviridae	Betatorquevirus	Torque teno mini virus ALA22	1535290	None	NC_025726
Anelloviridae	Betatorquevirus	Torque teno mini virus ALH8	1535291	None	NC_025727
Anelloviridae	Deltatorquevirus	Torque teno tupaia virus	687381	None	NC_038348
Anelloviridae	Epsilontorquevirus	Torque teno tamarin virus	687382	None	NC_014085
Anelloviridae	Etatorquevirus	Torque teno felis virus	687384	None	NC_014072
Anelloviridae	Etatorquevirus	Torque teno felis virus 2	2065043	None	NC_038349
Anelloviridae	Gammatorquevirus	Torque teno midi virus 1	687379	None	NC_009225
Anelloviridae	Gammatorquevirus	Torque teno midi virus 10	2065051	None	NC_038357
Anelloviridae	Gammatorquevirus	Torque teno midi virus 11	2065052	None	NC_038358
Anelloviridae	Gammatorquevirus	Torque teno midi virus 12	2065053	None	NC_038359
Anelloviridae	Gammatorquevirus	Torque teno midi virus 13	2065054	None	NC_038360
Anelloviridae	Gammatorquevirus	Torque teno midi virus 14	2065055	None	NC_038361
Anelloviridae	Gammatorquevirus	Torque teno midi virus 15	2065056	None	NC_038362
Anelloviridae	Gammatorquevirus	Torque teno midi virus 2	687380	None	NC_014093
Anelloviridae	Gammatorquevirus	Torque teno midi virus 3	2065044	None	NC_038350
Anelloviridae	Gammatorquevirus	Torque teno midi virus 4	2065045	None	NC_038351
Anelloviridae	Gammatorquevirus	Torque teno midi virus 5	2065046	None	NC_038352
Anelloviridae	Gammatorquevirus	Torque teno midi virus 6	2065047	None	NC_038353
Anelloviridae	Gammatorquevirus	Torque teno midi virus 7	2065048	None	NC_038354
Anelloviridae	Gammatorquevirus	Torque teno midi virus 8	2065049	None	NC_038355
Anelloviridae	Gammatorquevirus	Torque teno midi virus 9	2065050	None	NC_038356
Anelloviridae	Gyrovirus	Ashy storm petrel gyrovirus	2249930	None	NC_040720
Anelloviridae	Gyrovirus	Avian gyrovirus 2	1002273	None	NC_015396
Anelloviridae	Gyrovirus	Chicken anemia virus	12618	None	NC_001427
Anelloviridae	Gyrovirus	Gyrovirus 4	1214955	None	NC_018401
Anelloviridae	Gyrovirus	Gyrovirus GyV3	1163715	None	NC_017091
Anelloviridae	Gyrovirus	Gyrovirus GyV7-SF	1548711	None	NC_025215
Anelloviridae	Gyrovirus	Gyrovirus GyV8	1670973	None	NC_027430
Anelloviridae	Gyrovirus	Gyrovirus Tu243	1415627	None	NC_022788
Anelloviridae	Gyrovirus	Gyrovirus Tu789	1415628	None	NC_022789
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1a	687386	None	NC_014070
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1b	687387	None	NC_027059
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2a	1968861	None	NC_014092
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2b	1239832	None	NC_038363
Anelloviridae	Lambdatorquevirus	Torque teno seal virus 8	2560820	None	NC_035136
Anelloviridae	Lambdatorquevirus	Torque teno zalophus virus 1	1218490	None	NC_012126
Anelloviridae	Mutorquevirus	Torque teno equus virus 1	1673633	None	NC_040668
Anelloviridae	Thetatorquevirus	Torque teno canis virus	687385	None	NC_014071
Anelloviridae	Zetatorquevirus	Torque teno douroucouli virus	687383	None	NC_014087
Arenaviridae	unknown	Morogoro mammarenavirus	573900	S	NC_013057
Arenaviridae	unknown	Morogoro mammarenavirus	573900	L	NC_013058
Arenaviridae	unknown	Wenling frogfish arenavirus 1	2116466	M	NC_040426
Arenaviridae	unknown	Wenling frogfish arenavirus 1	2116466	S	NC_040427
Arenaviridae	unknown	Wenling frogfish arenavirus 1	2116466	L	NC_040428
Arenaviridae	unknown	Wenling frogfish arenavirus 2	2116467	S	NC_040464
Arenaviridae	unknown	Wenling frogfish arenavirus 2	2116467	L	NC_040465
Arenaviridae	unknown	Wenling frogfish arenavirus 2	2116467	M	NC_040466
Arenaviridae	Arenavirus	Mopeia Lassa virus reassortant 29	300180	L	NC_006572
Arenaviridae	Arenavirus	Mopeia Lassa virus reassortant 29	300180	S	NC_006573
Arenaviridae	Hartmanivirus	Haartman hartmanivirus	2169909	L	NC_043443
Arenaviridae	Hartmanivirus	Haartman hartmanivirus	2169909	S	NC_043444
Arenaviridae	Mammarenavirus	Allpahuayo mammarenavirus	144752	L	NC_010249
Arenaviridae	Mammarenavirus	Allpahuayo mammarenavirus	144752	S	NC_010253
Arenaviridae	Mammarenavirus	Apore mammarenavirus	2059312	S	NC_040762
Arenaviridae	Mammarenavirus	Apore mammarenavirus	2059312	L	NC_040763
Arenaviridae	Mammarenavirus	Argentinian mammarenavirus	2169991	L	NC_005080
Arenaviridae	Mammarenavirus	Argentinian mammarenavirus	2169991	S	NC_005081
Arenaviridae	Mammarenavirus	Bear Canyon mammarenavirus	192848	L	NC_010255
Arenaviridae	Mammarenavirus	Bear Canyon mammarenavirus	192848	S	NC_010256
Arenaviridae	Mammarenavirus	Brazilian mammarenavirus	2169992	L	NC_006313
Arenaviridae	Mammarenavirus	Brazilian mammarenavirus	2169992	S	NC_006317
Arenaviridae	Mammarenavirus	Cali mammarenavirus	2169993	L	NC_006439
Arenaviridae	Mammarenavirus	Cali mammarenavirus	2169993	S	NC_006447
Arenaviridae	Mammarenavirus	Chapare mammarenavirus	499556	S	NC_010562
Arenaviridae	Mammarenavirus	Chapare mammarenavirus	499556	L	NC_010563
Arenaviridae	Mammarenavirus	Cupixi mammarenavirus	208899	L	NC_010252
Arenaviridae	Mammarenavirus	Cupixi mammarenavirus	208899	S	NC_010254
Arenaviridae	Mammarenavirus	Flexal mammarenavirus	45220	S	NC_010757
Arenaviridae	Mammarenavirus	Flexal mammarenavirus	45220	L	NC_010759
Arenaviridae	Mammarenavirus	Gairo mammarenavirus	1535802	S	NC_026246
Arenaviridae	Mammarenavirus	Gairo mammarenavirus	1535802	L	NC_026247
Arenaviridae	Mammarenavirus	Guanarito mammarenavirus	45219	S	NC_005077
Arenaviridae	Mammarenavirus	Guanarito mammarenavirus	45219	L	NC_005082
Arenaviridae	Mammarenavirus	Ippy mammarenavirus	55096	S	NC_007905
Arenaviridae	Mammarenavirus	Ippy mammarenavirus	55096	L	NC_007906
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	11620	S	NC_004296,KM821998,GU481072,KM821773
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	11620	L	NC_004297
Arenaviridae	Mammarenavirus	Latino mammarenavirus	45221	S	NC_010758
Arenaviridae	Mammarenavirus	Latino mammarenavirus	45221	L	NC_010760
Arenaviridae	Mammarenavirus	Loei River mammarenavirus	1437126	S	NC_038364
Arenaviridae	Mammarenavirus	Loei River mammarenavirus	1437126	L	NC_038365
Arenaviridae	Mammarenavirus	Lujo mammarenavirus	649188	S	NC_012776
Arenaviridae	Mammarenavirus	Lujo mammarenavirus	649188	L	NC_012777
Arenaviridae	Mammarenavirus	Luna mammarenavirus	883876	S	NC_016152
Arenaviridae	Mammarenavirus	Luna mammarenavirus	883876	L	NC_016153
Arenaviridae	Mammarenavirus	Lunk mammarenavirus	1912901	S	NC_018710
Arenaviridae	Mammarenavirus	Lunk mammarenavirus	1912901	L	NC_018711
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	11623	L	NC_004291
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	11623	S	NC_004294
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	11628	S	NC_005078
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	11628	L	NC_005079
Arenaviridae	Mammarenavirus	Mariental mammarenavirus	1642436	S	NC_027134
Arenaviridae	Mammarenavirus	Mariental mammarenavirus	1642436	L	NC_027136
Arenaviridae	Mammarenavirus	Merino Walk mammarenavirus	743685	L	NC_023763
Arenaviridae	Mammarenavirus	Merino Walk mammarenavirus	743685	S	NC_023764
Arenaviridae	Mammarenavirus	Mobala mammarenavirus	55097	S	NC_007903
Arenaviridae	Mammarenavirus	Mobala mammarenavirus	55097	L	NC_007904
Arenaviridae	Mammarenavirus	Mopeia mammarenavirus	11629	L	NC_006574
Arenaviridae	Mammarenavirus	Mopeia mammarenavirus	11629	S	NC_006575
Arenaviridae	Mammarenavirus	Okahandja mammarenavirus	1642458	S	NC_027135
Arenaviridae	Mammarenavirus	Okahandja mammarenavirus	1642458	L	NC_027137
Arenaviridae	Mammarenavirus	Oliveros mammarenavirus	42764	S	NC_010248
Arenaviridae	Mammarenavirus	Oliveros mammarenavirus	42764	L	NC_010250
Arenaviridae	Mammarenavirus	Paraguayan mammarenavirus	2169994	S	NC_010756
Arenaviridae	Mammarenavirus	Paraguayan mammarenavirus	2169994	L	NC_010761
Arenaviridae	Mammarenavirus	Pirital mammarenavirus	49891	S	NC_005894
Arenaviridae	Mammarenavirus	Pirital mammarenavirus	49891	L	NC_005897
Arenaviridae	Mammarenavirus	Ryukyu mammarenavirus	2169995	S	NC_039009
Arenaviridae	Mammarenavirus	Ryukyu mammarenavirus	2169995	L	NC_039010
Arenaviridae	Mammarenavirus	Serra do Navio mammarenavirus	2169996	S	NC_010247
Arenaviridae	Mammarenavirus	Serra do Navio mammarenavirus	2169996	L	NC_010251
Arenaviridae	Mammarenavirus	Solwezi mammarenavirus	2030986	L	NC_038366
Arenaviridae	Mammarenavirus	Solwezi mammarenavirus	2030986	S	NC_038367
Arenaviridae	Mammarenavirus	Souris mammarenavirus	2169997	L	NC_039011
Arenaviridae	Mammarenavirus	Souris mammarenavirus	2169997	S	NC_039012
Arenaviridae	Mammarenavirus	Tacaribe mammarenavirus	11631	L	NC_004292
Arenaviridae	Mammarenavirus	Tacaribe mammarenavirus	11631	S	NC_004293
Arenaviridae	Mammarenavirus	Tamiami mammarenavirus	45223	S	NC_010701
Arenaviridae	Mammarenavirus	Tamiami mammarenavirus	45223	L	NC_010702
Arenaviridae	Mammarenavirus	Wenzhou mammarenavirus	1588685	S	NC_026018
Arenaviridae	Mammarenavirus	Wenzhou mammarenavirus	1588685	L	NC_026019
Arenaviridae	Mammarenavirus	Whitewater Arroyo mammarenavirus	46919	S	NC_010700
Arenaviridae	Mammarenavirus	Whitewater Arroyo mammarenavirus	46919	L	NC_010703
Arenaviridae	Reptarenavirus	Alethinophid 2 reptarenavirus	1653398	L	NC_023765
Arenaviridae	Reptarenavirus	Alethinophid 2 reptarenavirus	1653398	S	NC_023766
Arenaviridae	Reptarenavirus	California reptarenavirus	2170175	S	NC_018481
Arenaviridae	Reptarenavirus	California reptarenavirus	2170175	L	NC_018484
Arenaviridae	Reptarenavirus	Giessen reptarenavirus	2170176	S	NC_039005
Arenaviridae	Reptarenavirus	Giessen reptarenavirus	2170176	L	NC_039006
Arenaviridae	Reptarenavirus	Golden reptarenavirus	2170177	L	NC_018482
Arenaviridae	Reptarenavirus	Golden reptarenavirus	2170177	S	NC_018483
Arenaviridae	Reptarenavirus	Ordinary reptarenavirus	2170178	S	NC_039007
Arenaviridae	Reptarenavirus	Ordinary reptarenavirus	2170178	L	NC_039008
Arenaviridae	Reptarenavirus	Rotterdam reptarenavirus	2170179	S	NC_023761
Arenaviridae	Reptarenavirus	Rotterdam reptarenavirus	2170179	L	NC_023762
Arteriviridae	unknown	Porcine reproductive and respiratory syndrome virus	28344	None	NC_001961
Arteriviridae	unknown	Rodent arterivirus	1806636	None	NC_040535
Arteriviridae	unknown	Southwest baboon virus 1	1546178	None	NC_025113
Arteriviridae	Alphaarterivirus	Alphaarterivirus equid	2499620	None	NC_002532
Arteriviridae	Betaarterivirus	Betaarterivirus chinrav 1	2499930	None	NC_032987,NC_028963
Arteriviridae	Betaarterivirus	Betaarterivirus suid 1	2499680	None	NC_043487
Arteriviridae	Betaarterivirus	Betaarterivirus suid 2	2499685	None	NC_038291
Arteriviridae	Deltaarterivirus	Deltaarterivirus pejah	2499623	None	NC_027124
Arteriviridae	Epsilonarterivirus	Epsilonarterivirus hemcep	2501964	None	NC_038293
Arteriviridae	Epsilonarterivirus	Epsilonarterivirus safriver	2501965	None	NC_029992
Arteriviridae	Etaarterivirus	Etaarterivirus ugarco 1	2501969	None	NC_034455
Arteriviridae	Iotaarterivirus	Iotaarterivirus debrazmo	2501947	None	NC_026509
Arteriviridae	Iotaarterivirus	Iotaarterivirus kibreg 1	2501948	None	NC_038292
Arteriviridae	Kappaarterivirus	Kappaarterivirus wobum	2499677	None	NC_026811
Arteriviridae	Lambdaarterivirus	Lambdaarterivirus afriporav	2499621	None	NC_026439
Arteriviridae	Muarterivirus	Muarterivirus afrigant	2499618	None	NC_035127
Arteriviridae	Porartevirus	Lactate dehydrogenase-elevating virus	11048	None	NC_001639
Arteriviridae	Simartevirus	Kafue kinda chacma baboon virus	1823757	None	NC_029053
Arteriviridae	Simartevirus	Mikumi yellow baboon virus 1	1546177	None	NC_025112
Arteriviridae	Simartevirus	Simian hemorrhagic fever virus	38143	None	NC_003092
Arteriviridae	Zetaarterivirus	Zetaarterivirus ugarco 1	2499932	None	NC_033553
Asfarviridae	Asfivirus	African swine fever virus	10497	None	NC_044941,NC_044942,NC_001659
Astroviridae	unknown	Astrovirus Er/SZAL6/HUN/2011	1671382	None	NC_027426
Astroviridae	unknown	Astrovirus MLB2	683172	None	NC_016155
Astroviridae	unknown	Astrovirus MLB3	1247114	None	NC_019028
Astroviridae	unknown	Astrovirus VA3	683174	None	NC_019026
Astroviridae	unknown	Astrovirus VA4	1247113	None	NC_019027
Astroviridae	unknown	Bastrovirus BAS-1	2025396	None	NC_035758
Astroviridae	unknown	Bastrovirus BAS-2	2025397	None	NC_035471
Astroviridae	unknown	Bastrovirus BAS-3	2025398	None	NC_032484
Astroviridae	unknown	Bastrovirus-like_virus/VietNam/Bat/17819_21	1906170	None	NC_032426
Astroviridae	unknown	Bastrovirus/VietNam/Porcine/17489_85	1906173	None	NC_032423
Astroviridae	unknown	Bovine astrovirus CH13	1522059	None	NC_024498
Astroviridae	unknown	Mouse astrovirus M-52/USA/2008	1074210	None	NC_015935
Astroviridae	unknown	Murine astrovirus	1141625	None	NC_018702
Astroviridae	unknown	Porcine astrovirus 5	1093928	None	NC_023636
Astroviridae	unknown	Sichuan takin astrovirus	2220003	None	NC_037655
Astroviridae	Avastrovirus	Avastrovirus 3	1239439	None	NC_005790
Astroviridae	Avastrovirus	Chicken astrovirus	336959	None	NC_003790
Astroviridae	Avastrovirus	Duck astrovirus GII.A	905828	None	NC_012437
Astroviridae	Avastrovirus	Goose astrovirus	1349999	None	NC_034567
Astroviridae	Avastrovirus	Turkey astrovirus	70793	None	NC_002470
Astroviridae	Mamastrovirus	Astrovirus MLB1	568715	None	NC_011400
Astroviridae	Mamastrovirus	Astrovirus wild boar/WBAstV-1/2011/HUN	1137931	None	NC_016896
