flowcell,run name,sample name,bam name,unambig bases,median coverage,tapestation primer pool 1,tapestation primer pool 2
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ75D1PE,Fiocruz-DQ75D1PE-2_ampseq-1,2524,26376.0,2.9,0
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-028U,FGCU-028U_ampseq-2,2759,250.0,0,2.1
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-029U,FGCU-029U_ampseq-2,4348,43885.0,0.7,1.3
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-030U,FGCU-030U_ampseq-2,10413,7521.0,0.6,15.9
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-031U,FGCU-031U_ampseq-2,1951,17847.0,0.1,0.7
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-032U,FGCU-032U_ampseq-2,9863,11034.0,10.3,15
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-033U,FGCU-033U_ampseq-2,1312,23145.0,1.3,0
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-037U,FGCU-037U_ampseq-2,1962,42708.0,0.3,0.7
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-038U,FGCU-038U_ampseq-2,8763,18675.0,9.6,7.2
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-039U,FGCU-039U_ampseq-2,10597,19629.0,63.7,49.3
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-040S,FGCU-040S_ampseq-2,680,99895.0,0.7,0
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-MP-7501,FGCU-MP-7501_ampseq-2,10593,17433.0,NA,144
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-MP-7719,FGCU-MP-7719_ampseq-2,10439,20489.0,67.7,76.9
AT2BN,Make Sequencing Great Again Part II (MSGA),FGCU-MP-7727,FGCU-MP-7727_ampseq-2,10594,7944.0,69.8,87.5
AT2BN,Make Sequencing Great Again Part II (MSGA),Fiocruz-6864-U,Fiocruz-6864-U_ampseq-2,10360,20441.0,24.8,29.2
AT2BN,Make Sequencing Great Again Part II (MSGA),Fiocruz-DQ219D1URI,Fiocruz-B16_ampseq-2,1317,41021.0,0.4,0.9
AT2BN,Make Sequencing Great Again Part II (MSGA),Fiocruz-DQ192D1URI,Fiocruz-B30_ampseq-2,2973,16276.0,0,2.8
AT2BN,Make Sequencing Great Again Part II (MSGA),Fiocruz-DQ42D1URI,Fiocruz-B34_ampseq-2,10437,8908.0,94.4,10.6
AT2BN,Make Sequencing Great Again Part II (MSGA),Fiocruz-DQ28D1URI,Fiocruz-B7_ampseq-2,10359,14882.0,39,34.4
AT2BN,Make Sequencing Great Again Part II (MSGA),Fiocruz-DQ125D1PE,Fiocruz-DQ125D1PE_ampseq-2,98,0.0,0,0
AT2BN,Make Sequencing Great Again Part II (MSGA),Fiocruz-DQ197D1URI,Fiocruz-DQ197D1URI_ampseq-2,1518,4.0,0.6,0.1
AT2BN,Make Sequencing Great Again Part II (MSGA),Fiocruz-DQ68D1URI,Fiocruz-DQ68D1URI_ampseq-2,3354,31283.0,1.4,2.5
AT2BN,Make Sequencing Great Again Part II (MSGA),UNAH-ME-136,UNAH-ME-136_ampseq-2,5856,16590.0,1.1,3.3
AT2BN,Make Sequencing Great Again Part II (MSGA),UNAH-ME-152,UNAH-ME-152_ampseq-2,10360,9612.0,14.7,20.7
AT2BN,Make Sequencing Great Again Part II (MSGA),UNAH-ME-167,UNAH-ME-167_ampseq-2,10596,9455.0,16.7,34.1
AT2BN,Make Sequencing Great Again Part II (MSGA),UNAH-ME-172,UNAH-ME-172_ampseq-2,6431,14726.0,1.9,2.9
AT2BN,Make Sequencing Great Again Part II (MSGA),UNAH-ME-178,UNAH-ME-178_ampseq-2,10167,16571.0,18.8,24.4
AT2BN,Make Sequencing Great Again Part II (MSGA),UNAH-ME-38,UNAH-ME-38_ampseq-2,10364,10583.0,61.9,66.8
AT2BN,Make Sequencing Great Again Part II (MSGA),UNAH-ME-42,UNAH-ME-42_ampseq-2,10070,749.0,28.3,38.6
AT2BN,Make Sequencing Great Again Part II (MSGA),UNAH-ME-50,UNAH-ME-50_ampseq-2,7862,29190.0,2.4,4.8
AT2BN,Make Sequencing Great Again Part II (MSGA),UNAH-ME-58,UNAH-ME-58_ampseq-2,10365,20502.0,36.3,38.6
AT2BN,Make Sequencing Great Again Part II (MSGA),UNAH-SZ-76,UNAH-SZ-76_ampseq-2,5535,3069.0,0.8,0.5
AW4C2,Big League Part I,BocaBio-0115U,BocaBio-115U_ampseq-3,8848,11562.0,4.9,8.8
AW4C2,Big League Part I,BocaBio-0127S,BocaBio-127S_ampseq-3,10599,10603.0,65.6,80
AW4C2,Big League Part I,BocaBio-0180U,BocaBio-180U_ampseq-3,8802,12802.0,4.5,8.1
AW4C2,Big League Part I,BocaBio-0436P,BocaBio-436S_ampseq-3,9565,10209.0,39.2,36.2
AW4C2,Big League Part I,BocaBio-0076U,BocaBio-76U_ampseq-3,7454,620.0,1.7,0
AW4C2,Big League Part I,FGCU-002U,FGCU-002U_ampseq-3,3698,8.0,0,0
AW4C2,Big League Part I,FGCU-003U,FGCU-003U_ampseq-3,4356,32.0,0.1,0
AW4C2,Big League Part I,FGCU-005S,FGCU-005S_ampseq-3,450,144916.0,0,0.1
AW4C2,Big League Part I,FGCU-005U,FGCU-005U_ampseq-3,461,3940.0,0,0
AW4C2,Big League Part I,FGCU-006S,FGCU-006S_ampseq-3,6844,32.0,0,0
AW4C2,Big League Part I,FGCU-009U,FGCU-009U_ampseq-3,1654,129.0,0,0
AW4C2,Big League Part I,FGCU-012U,FGCU-012U_ampseq-3,1651,32.0,0.5,0.1
AW4C2,Big League Part I,FGCU-013U,FGCU-013U_ampseq-3,2411,66070.0,0.5,0.1
AW4C2,Big League Part I,FGCU-014U,FGCU-014U_ampseq-3,0,0.0,0,0
AW4C2,Big League Part I,FGCU-015U,FGCU-015U_ampseq-3,114,0.0,0,0
AW4C2,Big League Part I,FGCU-018U,FGCU-018U_ampseq-3,57,0.0,0,0
AW4C2,Big League Part I,FGCU-028U,FGCU-028U_ampseq-3,2375,34181.0,0.6,0.4
AW4C2,Big League Part I,FGCU-029U,FGCU-029U_ampseq-3,3808,12495.0,0.3,1.8
AW4C2,Big League Part I,FGCU-030U,FGCU-030U_ampseq-3,9386,15362.0,7.2,10.1
AW4C2,Big League Part I,FGCU-033U,FGCU-033U_ampseq-3,494,249825.0,0.6,0
AW4C2,Big League Part I,FGCU-040S,FGCU-040S_ampseq-3,354,3.0,0,0
AW4C2,Big League Part I,FGCU-MP-05,FGCU-MP-05_ampseq-3,10439,10073.0,18.3,32
AW4C2,Big League Part I,Fiocruz-6696,Fiocruz-6696_ampseq-3,4758,24.0,0.6,0.4
AW4C2,Big League Part I,Fiocruz-6703,Fiocruz-6703_ampseq-3,3364,39664.0,0,1
AW4C2,Big League Part I,Fiocruz-DQ192D1URI,Fiocruz-B30_ampseq-3,2720,14752.0,0.9,0.9
AW4C2,Big League Part I,Fiocruz-6418,Fiocruz-B38_ampseq-3,5220,21.0,0,0
AW4C2,Big League Part I,Fiocruz-DQ109D1PE,Fiocruz-DQ109D1PE_ampseq-3,2331,26391.0,0,1.4
AW4C2,Big League Part I,Fiocruz-DQ12D1PE,Fiocruz-DQ12D1PE_ampseq-3,4909,14499.0,0.9,1.2
AW4C2,Big League Part I,Fiocruz-DQ14D1PE,Fiocruz-DQ14D1PE_ampseq-3,389,5.0,0,0
AW4C2,Big League Part I,Fiocruz-DQ197D1URI,Fiocruz-DQ197D1URI_ampseq-3,0,0.0,3.4,0.9
AW4C2,Big League Part I,Fiocruz-DQ58D1PE,Fiocruz-DQ58D1PE_ampseq-3,9464,11827.0,19.4,35
AW4C2,Big League Part I,Fiocruz-DQ5D1URI,Fiocruz-DQ5D1URI_ampseq-3,8346,8694.0,3.1,3.7
AW4C2,Big League Part I,Fiocruz-DQ60D1PE,Fiocruz-DQ60D1PE_ampseq-3,2722,10170.0,0.3,0.8
AW4C2,Big League Part I,Fiocruz-DQ60D1URI,Fiocruz-DQ60D1URI_ampseq-3,8623,10117.0,7.3,17.3
AW4C2,Big League Part I,Fiocruz-DQ75D1PE,Fiocruz-DQ75D1PE-2_ampseq-3,366,1392.0,0,0
AW4C2,Big League Part I,Fiocruz-DQ75D1URI,Fiocruz-DQ75D1URI_ampseq-3,8964,14973.0,7.6,9.3
AW4C2,Big League Part I,Fiocruz-DQ77D1URI,Fiocruz-DQ77D1URI-1_ampseq-3,1792,240.0,0,0.2
AW4C2,Big League Part I,UNAH-ME-147,UNAH-ME-147_ampseq-3,9482,7291.0,8.6,12.4
AW4C2,Big League Part I,UNAH-ME-156,UNAH-ME-156_ampseq-3,9786,9037.0,8.1,6.2
AW4C2,Big League Part I,UNAH-ME-171,UNAH-ME-171_ampseq-3,9395,7999.0,4.1,6.1
AW4C2,Big League Part I,UNAH-ME-59,UNAH-ME-59_ampseq-3,9528,13800.0,14.2,17
ATDB7,Big League Part II,FGCU-001Sa,FGCU-001Sa_ampseq-4,8192,9508.0,3.6,3
ATDB7,Big League Part II,FGCU-019U,FGCU-019U_ampseq-4,3093,37739.0,1,0.5
ATDB7,Big League Part II,FGCU-020U,FGCU-020U_ampseq-4,816,355039.0,0.2,0
ATDB7,Big League Part II,Fiocruz-28209-liquor,Fiocruz-28209-liquor_ampseq-4,456,4.0,0,0
ATDB7,Big League Part II,Fiocruz-546939-007-001,Fiocruz-546939-007-001_ampseq-4,85,0.0,0,0.1
ATDB7,Big League Part II,Fiocruz-547184-007-001,Fiocruz-547184-007-001_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-547184-032-001,Fiocruz-547184-032-001_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-547220-007-001,Fiocruz-547220-007-001_ampseq-4,759,13.0,0,0
ATDB7,Big League Part II,Fiocruz-547224-032-001,Fiocruz-547224-032-001_ampseq-4,91,0.0,0,0
ATDB7,Big League Part II,Fiocruz-547231-032-001,Fiocruz-547231-032-001_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-6020-SOCO,Fiocruz-6020-SOCO_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-6095-SOCO,Fiocruz-6095-SOCO_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-6284-RNA,Fiocruz-6284-RNA_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-6418,Fiocruz-6418-2_ampseq-4,9935,4010.0,12,10.5
ATDB7,Big League Part II,Fiocruz-6706,Fiocruz-6706-2_ampseq-4,9101,20579.0,6.1,8.1
ATDB7,Big League Part II,Fiocruz-6863,Fiocruz-6863-2_ampseq-4,10191,39089.0,15.3,16.5
ATDB7,Big League Part II,Fiocruz-DQ105D1PE,Fiocruz-DQ105D1PE-2_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ116D1PE,Fiocruz-DQ116D1PE-2_ampseq-4,9846,48261.0,6.2,7.6
ATDB7,Big League Part II,Fiocruz-DQ119D1URI,Fiocruz-DQ119D1URI-2_ampseq-4,1352,152292.0,0.5,0
ATDB7,Big League Part II,Fiocruz-DQ121D1PE,Fiocruz-DQ121D1PE-2_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ122D1PE,Fiocruz-DQ122D1PE_ampseq-4,7685,9998.0,6.7,2.5
ATDB7,Big League Part II,Fiocruz-DQ131D1URI,Fiocruz-DQ131D1URI-2_ampseq-4,10601,26554.0,36.6,35
ATDB7,Big League Part II,Fiocruz-DQ192D1URI,Fiocruz-DQ192D1URI-2_ampseq-4,259,0.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ194D1URI,Fiocruz-DQ194D1URI_ampseq-4,580,0.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ203D1ACD,Fiocruz-DQ203D1ACD_ampseq-4,282,1.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ219D1URI,Fiocruz-DQ219D1URI-2_ampseq-4,0,0.0,0,0.2
ATDB7,Big League Part II,Fiocruz-DQ220D1PE,Fiocruz-DQ220D1PE_ampseq-4,102,0.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ246D1URI,Fiocruz-DQ246D1URI_ampseq-4,608,5.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ28D1URI,Fiocruz-DQ28D1URI-2_ampseq-4,90,0.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ42D1URI,Fiocruz-DQ42D1URI-2_ampseq-4,10573,14711.0,4.9,12.4
ATDB7,Big League Part II,Fiocruz-DQ62D1PE,Fiocruz-DQ62D1PE_ampseq-4,8953,33338.0,2.6,3.5
ATDB7,Big League Part II,Fiocruz-DQ62D1URI,Fiocruz-DQ62D1URI-2_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ62D2PE,Fiocruz-DQ62D2PE-2_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ62D2URI,Fiocruz-DQ62D2URI-2_ampseq-4,3365,62057.0,0.3,1.9
ATDB7,Big League Part II,Fiocruz-DQ75D1PE,Fiocruz-DQ75D1PE-3_ampseq-4,0,0.0,0,0
ATDB7,Big League Part II,Fiocruz-DQ77D1URI,Fiocruz-DQ77D1URI-2_ampseq-4,453,218056.0,0.2,0
ATDYY,Big League Part IV,BocaBio-0115S,BocaBio-115S-2_ampseq-6,10357,14714.0,16.4,41.8
ATDYY,Big League Part IV,BocaBio-0115U,BocaBio-115U-2_ampseq-6,9591,9169.0,4.7,8
ATDYY,Big League Part IV,BocaBio-0180S,BocaBio-180S-2_ampseq-6,10158,15852.0,32.2,48.1
ATDYY,Big League Part IV,BocaBio-0180S,BocaBio-180S-3_ampseq-6,10600,7373.0,6.4,8.2
ATDYY,Big League Part IV,BocaBio-0180U,BocaBio-180U-2_ampseq-6,10237,15662.0,10.6,11.2
ATDYY,Big League Part IV,BocaBio-0183S,BocaBio-183S_ampseq-6,10051,29211.0,11.9,15.7
ATDYY,Big League Part IV,BocaBio-0183U,BocaBio-183U_ampseq-6,68,0.0,0,0.1
ATDYY,Big League Part IV,BocaBio-0184U,BocaBio-184U_ampseq-6,471,181546.0,0.3,0
ATDYY,Big League Part IV,BocaBio-0433S,BocaBio-433S_ampseq-6,10018,22975.0,11.9,23.1
ATDYY,Big League Part IV,BocaBio-0445S,BocaBio-445S_ampseq-6,0,0.0,0,0
ATDYY,Big League Part IV,BocaBio-0448S,BocaBio-448S_ampseq-6,0,0.0,0,0
ATDYY,Big League Part IV,BocaBio-0054S,BocaBio-54S_ampseq-6,693,26.0,0,0
ATDYY,Big League Part IV,BocaBio-0054U,BocaBio-54U_ampseq-6,1649,184571.0,0,0.3
ATDYY,Big League Part IV,BocaBio-0059S,BocaBio-59S_ampseq-6,8516,17305.0,2.7,3.4
ATDYY,Big League Part IV,BocaBio-0059U,BocaBio-59U_ampseq-6,751,192308.0,0.2,0.5
ATDYY,Big League Part IV,BocaBio-0071S,BocaBio-71S_ampseq-6,9102,19207.0,4.5,3.4
ATDYY,Big League Part IV,BocaBio-0076S,BocaBio-76S-2_ampseq-6,9514,18831.0,2.9,2.7
ATDYY,Big League Part IV,BocaBio-0076U,BocaBio-76U-2_ampseq-6,9754,15549.0,3.6,5.2
ATDYY,Big League Part IV,BocaBio-0085S,BocaBio-85S_ampseq-6,4002,19968.0,0.5,1.3
ATDYY,Big League Part IV,BocaBio-0085U,Water-2_ampseq-6,10073,11419.0,8.1,12.3
ATDYY,Big League Part IV,BocaBio-0091S,BocaBio-91S_ampseq-6,10360,11670.0,17.5,19
ATDYY,Big League Part IV,FGCU-MP-06,FGCU-MP-06_ampseq-6,10586,14669.0,13.3,15.2
ATDYY,Big League Part IV,FGCU-MP-07,FGCU-MP-07_ampseq-6,0,0.0,0,0
ATDYY,Big League Part IV,FGCU-MP-08,FGCU-MP-08_ampseq-6,10360,14283.0,2.4,3.4
AVF55,Rambunctious Replicates,BocaBio-0059S,BocaBio-0059S_ampseq-10,6931,10780.0,1.5,2
AVF55,Rambunctious Replicates,BocaBio-0071S,BocaBio-0071S_ampseq-10,6810,10963.0,1.4,2
AVF55,Rambunctious Replicates,BocaBio-0071U,BocaBio-0071U_ampseq-10,5555,10503.0,1.5,1
AVF55,Rambunctious Replicates,BocaBio-0076S,BocaBio-0076S-2_ampseq-10,10323,6499.0,27.7,14.8
AVF55,Rambunctious Replicates,BocaBio-0076U,BocaBio-0076U-2_ampseq-10,8209,3907.0,4,14.1
AVF55,Rambunctious Replicates,BocaBio-0085U,BocaBio-0085U_ampseq-10,9742,8139.0,10.5,12.3
AVF55,Rambunctious Replicates,BocaBio-0091S,BocaBio-0091S_ampseq-10,10150,6037.0,6.9,10.2
AVF55,Rambunctious Replicates,BocaBio-0115S,BocaBio-0115S-2_ampseq-10,10601,9316.0,35.1,47.5
AVF55,Rambunctious Replicates,BocaBio-0115U,BocaBio-0115U-2_ampseq-10,9904,8481.0,5.8,8.4
AVF55,Rambunctious Replicates,BocaBio-0180U,BocaBio-0180U_ampseq-10,9612,7756.0,7.1,2.5
AVF55,Rambunctious Replicates,BocaBio-0183S,BocaBio-0183S_ampseq-10,10446,8758.0,31.4,34.1
AVF55,Rambunctious Replicates,BocaBio-0433S,BocaBio-0433S_ampseq-10,10352,5855.0,18.1,20.1
AVF55,Rambunctious Replicates,Fiocruz-6418,Fiocruz-6418_ampseq-10,10205,8953.0,9.3,12.3
AVF55,Rambunctious Replicates,Fiocruz-6696,Fiocruz-6696_ampseq-10,4619,14156.0,1,0.7
AVF55,Rambunctious Replicates,Fiocruz-6706,Fiocruz-6706_ampseq-10,10007,9718.0,8.2,9.9
AVF55,Rambunctious Replicates,Fiocruz-6863,Fiocruz-6863_ampseq-10,10148,12873.0,13.5,14
AVF55,Rambunctious Replicates,Fiocruz-DQ5D1URI,Fiocruz-DQ5D1URI_ampseq-10,5588,19519.0,2.3,2.5
AVF55,Rambunctious Replicates,Fiocruz-DQ49D1PE,Fiocruz-DQ49D1PE_ampseq-10,9244,5472.0,7.8,6.2
AVF55,Rambunctious Replicates,Fiocruz-DQ58D1PE,Fiocruz-DQ58D1PE_ampseq-10,10208,8230.0,18.5,26.8
AVF55,Rambunctious Replicates,Fiocruz-DQ60D1URI,Fiocruz-DQ60D1URI_ampseq-10,9949,11093.0,13.5,15.3
AVF55,Rambunctious Replicates,Fiocruz-DQ62D1PE,Fiocruz-DQ62D1PE_ampseq-10,6857,11465.0,1.4,1.4
AVF55,Rambunctious Replicates,Fiocruz-DQ75D1URI,Fiocruz-DQ75D1URI_ampseq-10,10148,12171.0,10.5,10
AVF55,Rambunctious Replicates,Fiocruz-DQ107D1URI,Fiocruz-DQ107D1URI_ampseq-10,9612,9644.0,7.3,6.3
AVF55,Rambunctious Replicates,Fiocruz-DQ116D1PE,Fiocruz-DQ116D1PE_ampseq-10,2664,29.0,0.3,0
AVF55,Rambunctious Replicates,Fiocruz-DQ122D1PE,Fiocruz-DQ122D1PE_ampseq-10,9001,11919.0,3.9,5.3
AVF55,Rambunctious Replicates,FGCU-021U,FGCU-021U_ampseq-10,10300,8442.0,14.2,13.7
AVF55,Rambunctious Replicates,UWI-JM-2,UWI-JM-2_ampseq-10,1816,13.0,0.2,0
AVF55,Rambunctious Replicates,UWI-JM-3A,UWI-JM-3A_ampseq-10,465,82285.0,0.4,0
AVF55,Rambunctious Replicates,UWI-JM-3B,UWI-JM-3B_ampseq-10,85,0.0,0,0
AVF55,Rambunctious Replicates,UWI-JM-4,UWI-JM-4_ampseq-10,0,0.0,0,0.2
AVF55,Rambunctious Replicates,UWI-JM-5,UWI-JM-5_ampseq-10,0,0.0,0,0
AVF55,Rambunctious Replicates,UWI-JM-6,UWI-JM-6_ampseq-10,10357,6314.0,24.6,21.6
AVF55,Rambunctious Replicates,UWI-JM-7A,UWI-JM-7A_ampseq-10,0,0.0,0,0
AVF55,Rambunctious Replicates,UWI-JM-7B,UWI-JM-7B_ampseq-10,167,0.0,0,0
AVF55,Rambunctious Replicates,UWI-JM-8,UWI-JM-8_ampseq-10,0,0.0,0,0
AVF55,Rambunctious Replicates,UNAH-ME-59,UNAH-ME-59_ampseq-10,10354,10483.0,13.7,12.9
AVF55,Rambunctious Replicates,UNAH-ME-147,UNAH-ME-147_ampseq-10,9629,10571.0,9.4,13.5
AVF55,Rambunctious Replicates,UNAH-ME-152,UNAH-ME-152_ampseq-10,10198,9465.0,12.7,13.8
AVF55,Rambunctious Replicates,UNAH-ME-156,UNAH-ME-156_ampseq-10,9487,8389.0,5.1,5.4
AVF55,Rambunctious Replicates,UNAH-ME-171,UNAH-ME-171_ampseq-10,10341,11295.0,5.7,8.4
AVF55,Rambunctious Replicates,UNAH-ME-178,UNAH-ME-178_ampseq-10,10001,11939.0,8.3,8.4
AYB25,Sandy,MaDPH-WGS16-001,MaDPH-WGS16-001_ampseq-11,71,0.0,0,0
AYB25,Sandy,MaDPH-WGS16-002,MaDPH-WGS16-002_ampseq-11,0,0.0,0,0
AYB25,Sandy,MaDPH-WGS16-003,MaDPH-WGS16-003_ampseq-11,0,0.0,0,0
AYB25,Sandy,MaDPH-WGS16-004,MaDPH-WGS16-004_ampseq-11,10439,10180.0,30.2,24.6
AYB25,Sandy,MaDPH-WGS16-005,MaDPH-WGS16-005_ampseq-11,7293,14779.0,21,13.5
AYB25,Sandy,MaDPH-WGS16-006,MaDPH-WGS16-006_ampseq-11,219,0.0,0,1.3
AYB25,Sandy,MaDPH-WGS16-007,MaDPH-WGS16-007_ampseq-11,10151,10667.0,16.6,19.7
AYB25,Sandy,MaDPH-WGS16-008,MaDPH-WGS16-008_ampseq-11,887,89270.0,0.3,0.2
