accession	country	year	entry_create_year	taxid	species
JQ513335	Brazil: Belem-PA	2011	2012	11070	Dengue virus
FJ898407	Viet Nam: South	2006	2009	11053	Dengue virus
GQ868570	Colombia: Santander	2008	2009	11053	Dengue virus
AY702034	Cuba	None	2005	11060	Dengue virus
KX452053	Malaysia: Johor Bahru	2014	2017	11053	Dengue virus
AY858039	Indonesia: Jakarta	None	2005	11069	Dengue virus
FJ639674	Cambodia: KCH	2002	2009	11053	Dengue virus
FJ478459	Nicaragua: Managua	2007	2008	11060	Dengue virus
HM181967	Viet Nam: South	2008	2010	11053	Dengue virus
KJ189315	Mexico	2008	2014	11053	Dengue virus
EU003591	Nigeria	1966	2008	11060	Dengue virus
KY586447	Thailand	2004	2017	12637	Dengue virus
DQ672558	French Polynesia	None	2007	11053	Dengue virus
GU131725	Viet Nam: South	2008	2009	11053	Dengue virus
LC129169	Thailand	None	2017	11060	Dengue virus
EU569709	USA: Puerto Rico	1996	2008	11060	Dengue virus
AY858048	Indonesia: Jakarta	None	2005	11069	Dengue virus
GQ868630	Cambodia: KCH	2006	2009	11053	Dengue virus
FJ410248	Viet Nam: South	2008	2008	11053	Dengue virus
MN448597	Thailand	2009	2020	11053	Dengue virus
MF033211	Singapore	2013	2018	11053	Dengue virus
KR024706	China	2014	2016	11053	Dengue virus
KJ579247	Brazil: Varzea Grande, MT	2012	2015	11070	Dengue virus
KP398852	Sri Lanka	2014	2015	11053	Dengue virus
EU677157	Viet Nam: South	2007	2008	11053	Dengue virus
MK783191	China	2018	2021	11060	Dengue virus
JQ915082	French Polynesia: Tahiti	2009	2013	11070	Dengue virus
KY586437	Thailand	2006	2017	12637	Dengue virus
KF955454	Venezuela	None	2014	11069	Dengue virus
FJ639709	Cambodia: TAK	2005	2009	11060	Dengue virus
GQ868498	Mexico: Yucatan	2006	2009	11053	Dengue virus
KY057367	Indonesia: Surabaya	2012	2018	11053	Dengue virus
KC692505	Argentina: Buenos Aires	2009	2014	11053	Dengue virus
AF204177	China:Hainan province	None	1999	11060	Dengue virus
FJ850106	Venezuela: Aragua	2008	2009	11060	Dengue virus
KY849757	Laos: Luang Namtha	2009	2018	11060	Dengue virus
EU482561	USA: Puerto Rico	1996	2008	11060	Dengue virus
EU482538	Viet Nam: south	2006	2008	11053	Dengue virus
EU482688	Nicaragua: Managua	2006	2008	11060	Dengue virus
AY776330	Taiwan	None	2005	11070	Dengue virus
EU482666	Viet Nam: south	2006	2008	11060	Dengue virus
EF629368	Brazil	None	2007	11069	Dengue virus
KF955461	Cambodia	1999	2014	11069	Dengue virus
MN018391	China: Guangdong Province	2015	2020	11070	Dengue virus
FJ024429	Viet Nam: South	2007	2008	11053	Dengue virus
MW946166	Thailand	2012	2021	11053	Dengue virus
KX621246	China	2015	2017	11060	Dengue virus
KC762675	Indonesia: Makassar	2008	2015	11060	Dengue virus
EU677173	Viet Nam: South	2007	2008	11053	Dengue virus
MW945887	Thailand	2007	2021	11053	Dengue virus
KY586456	Thailand	2006	2017	12637	Dengue virus
KY849720	Laos: Salavan	2009	2018	11053	Dengue virus
HM181957	Cambodia: KCH	2007	2010	11053	Dengue virus
KX452022	Malaysia: Johor Bahru	2014	2017	11060	Dengue virus
KY586382	Thailand	1995	2017	12637	Dengue virus
EU081270	Singapore	2005	2007	11053	Dengue virus
MN018338	China: Guangdong Province	2015	2020	11060	Dengue virus
FJ744711	Thailand: Kampheange Phet	2001	2009	11060	Dengue virus
KT726360	Cuba	2001	2016	11069	Dengue virus
FJ410192	Viet Nam: South	2008	2008	11053	Dengue virus
MW512481	Singapore	2018	2021	11060	Dengue virus
HM181946	Cambodia: KCH	2007	2010	11053	Dengue virus
JN544410	Singapore	2011	2012	11053	Dengue virus
MW512437	Singapore	2015	2021	11060	Dengue virus
EU482743	USA: Puerto Rico	1989	2008	11060	Dengue virus
KT726361	Cuba	2002	2016	11069	Dengue virus
KY849704	Laos: Luang Namtha	2011	2018	11053	Dengue virus
KF971870	China	2013	2014	11053	Dengue virus
KY586820	Thailand	2008	2017	12637	Dengue virus
KC762621	Indonesia: Makassar	2008	2015	11053	Dengue virus
FJ882521	Viet Nam: South	2006	2009	11053	Dengue virus
FJ873811	Viet Nam: South	2006	2009	11060	Dengue virus
FJ196843	China: Guangzhou, Guangdong Province	2006	2011	11053	Dengue virus
KJ189274	Peru	2007	2014	11069	Dengue virus
MW512417	Singapore	2014	2021	11060	Dengue virus
MH450299	Venezuela: Carabobo	2015	2018	12637	Dengue virus
KT726352	Cuba	2001	2016	11069	Dengue virus
KY670635	Taiwan	2003	2018	11070	Dengue virus
KX452041	Malaysia: Johor Bahru	2014	2017	11060	Dengue virus
JF920396	Nicaragua: Managua	2009	2011	11069	Dengue virus
MW577822	Brazil	2019	2021	11060	Dengue virus
GU131875	Brazil: Sao Paulo	2007	2009	11069	Dengue virus
KM279539	Singapore	2012	2015	11060	Dengue virus
MH827539	China	2017	2019	11060	Dengue virus
KM403580	Singapore	2013	2016	11053	Dengue virus
GQ868542	Thailand: Bangkok	1994	2009	11060	Dengue virus
FM210217	Viet Nam:South	1999	2008	11060	Dengue virus
KU666942	Malaysia: Johor Bahru	2014	2016	11053	Dengue virus
KC762699	Indonesia: Makassar	2008	2015	11070	Dengue virus
KT827371	China: Guangzhou, Guangdong Province	2014	2017	11053	Dengue virus
KY586888	Thailand	2004	2017	12637	Dengue virus
MN448675	Thailand	2011	2020	11053	Dengue virus
KY474329	Ecuador: Machala	2014	2018	11060	Dengue virus
MW946197	Thailand	2003	2021	11053	Dengue virus
MN018347	China: Guangdong Province	2016	2020	11060	Dengue virus
MH823210	Indonesia	2014	2019	11070	Dengue virus
MF033257	Singapore	2016	2018	11053	Dengue virus
KY586783	Thailand	2002	2017	12637	Dengue virus
FJ882553	Viet Nam: South	2007	2009	11053	Dengue virus
JX966379	Mexico	1994	2013	11060	Dengue virus
MW512475	Singapore	2017	2021	11060	Dengue virus
KY586776	Thailand	1995	2017	12637	Dengue virus
KY474325	Ecuador: Machala	2014	2018	11060	Dengue virus
HQ332170	Venezuela	2006	2012	11069	Dengue virus
KT726346	Cuba	2002	2016	11069	Dengue virus
KC762665	Indonesia: Makassar	2007	2015	11060	Dengue virus
FJ882556	Viet Nam: South	2007	2009	11053	Dengue virus
EU482545	USA: Puerto Rico	1998	2008	11060	Dengue virus
MF033250	Singapore	2016	2018	11053	Dengue virus
MH450308	Venezuela: Aragua	2011	2018	12637	Dengue virus
FJ882524	Viet Nam: South	2006	2009	11053	Dengue virus
GU131972	Mexico: Yucatan	2007	2009	11053	Dengue virus
MW945824	Thailand	2004	2021	11053	Dengue virus
KJ189334	Mexico	2008	2014	11053	Dengue virus
MN294937	Saudi Arabia: Al-Sharafyia, Jeddah	2016	2020	11060	Dengue virus
KJ189344	Mexico	2009	2014	11053	Dengue virus
MN018370	China: Guangdong Province	2015	2020	11069	Dengue virus
EU569690	Venezuela: DF/Caracas	2001	2008	11069	Dengue virus
MW946078	Thailand	2013	2021	11053	Dengue virus
MW945896	Thailand	1998	2021	11053	Dengue virus
AB479041	Viet Nam: Ho Chi Minh	2002	2009	11060	Dengue virus
KC762646	Indonesia: Makassar	2007	2015	11053	Dengue virus
GU131778	Viet Nam: South	2008	2009	11053	Dengue virus
KY586484	Thailand	1995	2017	12637	Dengue virus
KM279543	Singapore	2012	2015	11060	Dengue virus
GU131741	Viet Nam: South	2008	2009	11053	Dengue virus
MW577832	Brazil	2010	2021	11060	Dengue virus
EU482487	Viet Nam: south	2007	2008	11053	Dengue virus
KM279573	Singapore	2012	2015	11060	Dengue virus
HQ332177	Venezuela	2006	2012	11053	Dengue virus
KJ189329	Mexico	2007	2014	11053	Dengue virus
KY849702	Laos: Vientiane	2010	2018	11053	Dengue virus
JF920400	Nicaragua: Managua	2009	2011	11069	Dengue virus
JF730054	USA: California	2009	2011	11060	Dengue virus
HM181966	Viet Nam: South	2008	2010	11053	Dengue virus
MH271405	China	2014	2019	11053	Dengue virus
KY586467	Thailand	2001	2017	12637	Dengue virus
EU677143	USA: Puerto Rico	1999	2008	11060	Dengue virus
KY586878	Thailand	2002	2017	12637	Dengue virus
EU482823	Viet Nam: south	2006	2008	11053	Dengue virus
HQ891024	Taiwan	2008	2011	11060	Dengue virus
FJ850110	Venezuela: Aragua	2007	2009	11069	Dengue virus
AF169681	None	None	2000	11060	Dengue virus
JN697056	Malaysia	2005	2012	11053	Dengue virus
KY586746	Thailand	2001	2017	12637	Dengue virus
EU482678	Viet Nam: south	2006	2008	11060	Dengue virus
FJ639722	Cambodia: KCH	2002	2009	11069	Dengue virus
KY586818	Thailand	2007	2017	12637	Dengue virus
MW946069	Thailand	1999	2021	11053	Dengue virus
FJ639810	Venezuela: Aragua	2005	2009	11069	Dengue virus
FJ410236	Viet Nam: South	2008	2008	11053	Dengue virus
LC428075	Viet Nam	2017	2019	11053	Dengue virus
KY849723	Laos: Salavan	2010	2018	11053	Dengue virus
KJ189328	Mexico	2007	2014	11053	Dengue virus
EU249494	Viet Nam: south	2006	2008	11053	Dengue virus
GQ199887	Sri Lanka: Western Province	1983	2009	11069	Dengue virus
EU569710	USA: Puerto Rico	1996	2008	11060	Dengue virus
KY474335	Ecuador: Machala	2014	2018	11070	Dengue virus
KY586770	Thailand	2002	2017	12637	Dengue virus
JF937648	Nicaragua: Managua	2010	2011	11069	Dengue virus
JN819408	Venezuela: Aragua	2001	2011	11060	Dengue virus
EU367962	China	None	2008	11069	Dengue virus
FJ410276	Viet Nam: South	2008	2008	11053	Dengue virus
KY586781	Thailand	2004	2017	12637	Dengue virus
MW512469	Singapore	2017	2021	11060	Dengue virus
MH822947	India	2012	2018	11060	Dengue virus
MK578532	China: Guangzhou	2016	2019	11060	Dengue virus
MW946224	Thailand	1994	2021	11053	Dengue virus
KM279519	Singapore	2011	2015	11060	Dengue virus
AY277664	None	None	2004	11053	Dengue virus
MN018388	China: Guangdong Province	2017	2020	11069	Dengue virus
EU081216	Singapore	2005	2007	11069	Dengue virus
KY496854	Taiwan	2016	2017	11053	Dengue virus
KY849746	Laos: Vientiane	2009	2018	11053	Dengue virus
EU081264	Singapore	2005	2007	11053	Dengue virus
MF033202	Singapore	2012	2018	11053	Dengue virus
KJ830751	Saudi Arabia	2014	2014	11069	Dengue virus
FJ639762	Venezuela: Aragua	2001	2009	11069	Dengue virus
FJ410290	Nicaragua: Managua	2005	2008	11053	Dengue virus
MG601754	China	2013	2018	11070	Dengue virus
DQ181797	Thailand: Bangkok	2001	2006	11060	Dengue virus
MW946062	Thailand	1997	2021	11053	Dengue virus
EU482737	USA: Puerto Rico	1994	2008	11060	Dengue virus
KX620451	China	2014	2017	11053	Dengue virus
EF457905	Malaysia	1972	2007	11053	Dengue virus
CS479205	None	None	2007	12637	Dengue virus
KM279521	Singapore	2011	2015	11060	Dengue virus
FJ898393	Viet Nam: South	2005	2009	11053	Dengue virus
MH822939	India	2012	2018	11060	Dengue virus
KX380816	Singapore	2012	2016	11060	Dengue virus
MK578531	China: Guangzhou	2016	2019	11060	Dengue virus
KY586369	Thailand	1995	2017	12637	Dengue virus
EU482547	USA: Puerto Rico	1998	2008	11060	Dengue virus
KY586618	Thailand	2000	2017	12637	Dengue virus
MF033208	Singapore	2013	2018	11053	Dengue virus
AY726555	Myanmar	None	2005	11053	Dengue virus
FJ639739	Venezuela: Aragua	1998	2009	11070	Dengue virus
GU131698	Viet Nam: South	2008	2009	11053	Dengue virus
EU482526	Viet Nam: south	2006	2008	11053	Dengue virus
FJ390387	Viet Nam: South	2007	2008	11060	Dengue virus
FJ205883	Viet Nam: South	2007	2008	11053	Dengue virus
KJ596661	Brazil: Cuiaba, MT	2012	2015	11070	Dengue virus
KJ189298	Peru	2008	2014	11069	Dengue virus
KY586825	Thailand	2001	2017	12637	Dengue virus
MG721054	India	2016	2019	11060	Dengue virus
EU660413	Viet Nam: South	2007	2008	11060	Dengue virus
KY586758	Thailand	2000	2017	12637	Dengue virus
MW946020	Thailand	1995	2021	11053	Dengue virus
GQ199776	Viet Nam: South	2007	2009	11053	Dengue virus
KX452033	Malaysia: Johor Bahru	2014	2017	11060	Dengue virus
GU131803	Viet Nam: South	2008	2009	11053	Dengue virus
KY586844	Thailand	2006	2017	12637	Dengue virus
EU482665	Viet Nam: south	2006	2008	11060	Dengue virus
MW945869	Thailand	2000	2021	11053	Dengue virus
KY586787	Thailand	2002	2017	12637	Dengue virus
FJ432737	Viet Nam: South	2007	2009	11053	Dengue virus
FJ024431	Viet Nam: South	2007	2008	11053	Dengue virus
FJ639832	Thailand: Kampheange Phet	2001	2009	11060	Dengue virus
KY849775	Laos: Vientiane	2010	2018	11069	Dengue virus
GU131796	Viet Nam: South	2008	2009	11053	Dengue virus
FJ205878	Viet Nam: South	2007	2008	11060	Dengue virus
FJ461305	Viet Nam: South	2007	2009	11060	Dengue virus
GU131755	Viet Nam: South	2008	2009	11053	Dengue virus
KJ189283	Peru	2007	2014	11069	Dengue virus
FJ639686	Cambodia: KCH	2006	2009	11053	Dengue virus
AY277666	None	None	2004	11053	Dengue virus
EU482557	USA: Puerto Rico	1999	2008	11060	Dengue virus
MF033201	Singapore	2012	2018	11053	Dengue virus
EU482671	Viet Nam: south	2006	2008	11060	Dengue virus
EU482485	Viet Nam: south	2007	2008	11053	Dengue virus
MW946054	Thailand	1995	2021	11053	Dengue virus
KJ189324	Mexico	2007	2014	11053	Dengue virus
MW946154	Thailand	1996	2021	11053	Dengue virus
EU482550	USA: Puerto Rico	1998	2008	11060	Dengue virus
GU131831	Viet Nam: South	2008	2009	11053	Dengue virus
EU482685	Nicaragua: Managua	2006	2008	11060	Dengue virus
MW946159	Thailand	1996	2021	11053	Dengue virus
MN448631	Thailand	2009	2020	11053	Dengue virus
FJ432728	Viet Nam: South	2007	2009	11069	Dengue virus
MW946103	Thailand	1997	2021	11053	Dengue virus
KY586360	Thailand	2003	2017	12637	Dengue virus
MW945827	Thailand	2000	2021	11053	Dengue virus
JF937598	Viet Nam: South	2006	2011	11053	Dengue virus
KY586331	Thailand	2005	2017	12637	Dengue virus
FJ898476	Nicaragua: Managua	2008	2009	11069	Dengue virus
EU596494	USA: Puerto Rico	2007	2008	11069	Dengue virus
FJ639698	Cambodia: KCH	2002	2009	11060	Dengue virus
MN018320	China: Guangdong Province	2015	2020	11053	Dengue virus
GU131711	Viet Nam: South	2008	2009	11053	Dengue virus
FJ810413	Thailand: Kampheange Phet	2001	2009	11069	Dengue virus
KY586542	Thailand	2000	2017	12637	Dengue virus
FJ687439	Thailand: Kampheange Phet	2001	2009	11060	Dengue virus
MG840562	China	2016	2019	11053	Dengue virus
FJ024446	Viet Nam: South	2007	2008	11053	Dengue virus
KT726341	Cuba	2001	2016	11069	Dengue virus
DQ401689	Bangladesh	None	2006	11069	Dengue virus
MN448641	Thailand	2010	2020	11053	Dengue virus
MN448635	Thailand	2010	2020	11053	Dengue virus
KJ189286	Peru	2008	2014	11069	Dengue virus
HM756280	Nicaragua: Managua	2009	2010	11069	Dengue virus
KJ189305	Colombia	2000	2014	11060	Dengue virus
MW945983	Thailand	2004	2021	11053	Dengue virus
KY586519	Thailand	2001	2017	12637	Dengue virus
KX459390	China	2014	2017	11053	Dengue virus
KC692498	Argentina: Buenos Aires	2009	2014	11053	Dengue virus
AB195673	Japan	None	2004	11053	Dengue virus
EU482560	USA: Puerto Rico	1998	2008	11060	Dengue virus
MN018365	China: Guangdong Province	2015	2020	11060	Dengue virus
AY858035	Indonesia: Jakarta	None	2005	11060	Dengue virus
AF514878	None	None	2002	11053	Dengue virus
MH822957	India	2013	2018	11069	Dengue virus
MW945934	Thailand	1994	2021	11053	Dengue virus
GU131707	Viet Nam: South	2008	2009	11053	Dengue virus
CS805342	None	None	2007	11069	Dengue virus
EU482668	Viet Nam: south	2006	2008	11060	Dengue virus
KY586525	Thailand	2000	2017	12637	Dengue virus
EU482605	Venezuela: Aragua	2007	2008	11060	Dengue virus
MG721056	India	2016	2019	11060	Dengue virus
EU920830	French Guiana	1998	2014	11060	Dengue virus
JQ045639	Viet Nam	None	2012	11053	Dengue virus
MW512398	Singapore	2013	2021	11060	Dengue virus
MN448634	Thailand	2010	2020	11053	Dengue virus
GQ199788	Viet Nam: South	2007	2009	11053	Dengue virus
MT832036	Philippines	2012	2021	11053	Dengue virus
FJ882515	Viet Nam: South	2006	2009	11053	Dengue virus
EU660418	Viet Nam: South	2007	2008	11053	Dengue virus
KU509282	Senegal	2009	2017	11069	Dengue virus
FJ744719	Thailand: Kampheange Phet	2001	2009	11060	Dengue virus
MH048670	Malaysia	2014	2020	11053	Dengue virus
MF156247	China	2015	2018	11060	Dengue virus
KY586735	Thailand	2004	2017	12637	Dengue virus
FJ461308	Viet Nam: South	2008	2009	11053	Dengue virus
MW945913	Thailand	2010	2021	11053	Dengue virus
FJ639736	Venezuela: Aragua	1998	2009	11070	Dengue virus
FJ898426	Viet Nam: South	2006	2009	11053	Dengue virus
MW512382	Singapore	2013	2021	11060	Dengue virus
MW945938	Thailand	2003	2021	11053	Dengue virus
FJ687432	Thailand: Kampheange Phet	2001	2009	11053	Dengue virus
KY586721	Thailand	2000	2017	12637	Dengue virus
GU131820	Viet Nam: South	2008	2009	11053	Dengue virus
FJ744717	Thailand: Kampheange Phet	2001	2009	11060	Dengue virus
FJ882517	Viet Nam: South	2006	2009	11053	Dengue virus
MN886865	China	2014	2020	11053	Dengue virus
KM279579	Singapore	2012	2015	11060	Dengue virus
KX855927	India	2014	2018	11069	Dengue virus
JF730053	USA: California	2006	2011	11060	Dengue virus
JQ513331	Brazil: Boa Vista-RR	2010	2012	11070	Dengue virus
MW315177	New Caledonia	2016	2021	11053	Dengue virus
MW945805	Thailand	2005	2021	11053	Dengue virus
MG877554	Thailand	2012	2018	11053	Dengue virus
DQ645546	Taiwan	None	2008	11060	Dengue virus
EU482566	USA: Puerto Rico	1998	2008	11069	Dengue virus
MW946015	Thailand	2002	2021	11053	Dengue virus
EU081251	Singapore	2005	2007	11053	Dengue virus
KY586928	Thailand	2001	2017	12637	Dengue virus
MW946088	Thailand	1999	2021	11053	Dengue virus
KJ189341	Mexico	2009	2014	11053	Dengue virus
KX452036	Malaysia: Johor Bahru	2014	2017	11060	Dengue virus
EU482785	Viet Nam: south	2003	2008	11060	Dengue virus
FJ898459	Trinidad and Tobago	2002	2009	11069	Dengue virus
MN448659	Thailand	2011	2020	11053	Dengue virus
MF156241	China	2015	2018	11060	Dengue virus
KU725666	None	None	2016	11069	Dengue virus
FJ410267	Viet Nam: South	2008	2008	11053	Dengue virus
MF156238	China	2015	2018	11060	Dengue virus
EU081197	Singapore	2005	2007	11069	Dengue virus
JQ045657	Viet Nam	None	2012	11053	Dengue virus
EU482552	USA: Puerto Rico	2006	2008	11060	Dengue virus
HM181949	Cambodia: KCH	2007	2010	11053	Dengue virus
MK564476	China: Guangzhou	2017	2019	11060	Dengue virus
KX380829	Singapore	2013	2016	11060	Dengue virus
FJ024432	Viet Nam: South	2007	2008	11053	Dengue virus
EU081245	Singapore	2005	2007	11053	Dengue virus
AY744681	French Polynesia	None	2005	11069	Dengue virus
KC762698	Indonesia: Makassar	2008	2015	11070	Dengue virus
MN018321	China: Guangdong Province	2015	2020	11053	Dengue virus
GU131904	Cambodia: KCH	2005	2009	11069	Dengue virus
HQ166030	Nicaragua: Managua	2009	2010	11069	Dengue virus
HM582102	New Caledonia	1971	2010	11060	Dengue virus
MH827546	China	2017	2019	11060	Dengue virus
KY849724	Laos: Vientiane	2009	2018	11053	Dengue virus
HM631861	Nicaragua: Managua	2009	2010	11069	Dengue virus
MN018355	China: Guangdong Province	2017	2020	11060	Dengue virus
KJ189281	Peru	2007	2014	11069	Dengue virus
FJ898404	Viet Nam: South	2006	2009	11053	Dengue virus
FJ898418	Viet Nam: South	2006	2009	11053	Dengue virus
FJ850073	Brazil: North east	2001	2009	11053	Dengue virus
FJ639830	Thailand: Kampheange Phet	2001	2009	11060	Dengue virus
FJ898421	Viet Nam: South	2006	2009	11053	Dengue virus
MH450298	Venezuela: Carabobo	2015	2018	12637	Dengue virus
HM181958	Cambodia: KCH	2007	2010	11053	Dengue virus
MN018383	China: Guangdong Province	2014	2020	11069	Dengue virus
EU660412	Viet Nam: South	2007	2008	11053	Dengue virus
KY474334	Ecuador: Machala	2014	2018	11060	Dengue virus
HM181944	Cambodia: KCH	2007	2010	11053	Dengue virus
EU482805	Viet Nam: south	2006	2008	11053	Dengue virus
JF937646	Nicaragua: Managua	2010	2011	11069	Dengue virus
MK783193	China	2018	2021	11060	Dengue virus
EU081268	Singapore	2005	2007	11053	Dengue virus
EU482499	Viet Nam: south	2007	2008	11053	Dengue virus
EU482565	USA: Puerto Rico	1998	2008	11060	Dengue virus
KM279591	Singapore	2012	2015	11060	Dengue virus
KM279518	Singapore	2011	2015	11060	Dengue virus
JF937651	Cambodia: KCH	2008	2011	11053	Dengue virus
MW946041	Thailand	2011	2021	11053	Dengue virus
JN093514	Nicaragua: Managua	2009	2011	11069	Dengue virus
MG840558	China	2015	2019	11053	Dengue virus
MW945989	Thailand	1994	2021	11053	Dengue virus
FJ024441	Viet Nam: South	2007	2008	11053	Dengue virus
KF955332	Cambodia	2000	2014	11069	Dengue virus
KU509288	Indonesia: Bali	2010	2017	11070	Dengue virus
KY586495	Thailand	2006	2017	12637	Dengue virus
KY849754	Laos: Luang Namtha	2009	2018	11060	Dengue virus
MW945784	Thailand	2006	2021	11053	Dengue virus
JN544409	Singapore	2011	2012	11053	Dengue virus
GU131965	Mexico: Yucatan	2007	2009	11053	Dengue virus
FJ639805	Venezuela: Aragua	2005	2009	11069	Dengue virus
HQ671178	Nicaragua: Managua	2009	2011	11069	Dengue virus
FJ639814	Venezuela: Aragua	2005	2009	11053	Dengue virus
KT187554	China: Guangdong	2014	2015	11060	Dengue virus
EU596490	USA: Puerto Rico	2007	2008	11060	Dengue virus
KM217156	Pakistan	2011	2015	11060	Dengue virus
MW945958	Thailand	2003	2021	11053	Dengue virus
EU482471	Viet Nam: south	2006	2008	11060	Dengue virus
KY849712	Laos: Salavan	2009	2018	11053	Dengue virus
FJ639730	Cambodia: PHP	2006	2009	11069	Dengue virus
JF730049	Viet Nam: South	2007	2011	11060	Dengue virus
KR296744	China	2013	2015	11069	Dengue virus
MW946213	Thailand	2006	2021	11053	Dengue virus
KY586857	Thailand	2003	2017	12637	Dengue virus
KT187560	China: Guangdong	2014	2015	11053	Dengue virus
GQ199799	Viet Nam: South	2007	2009	11053	Dengue virus
EU677147	USA: Puerto Rico	2004	2008	11060	Dengue virus
EU482739	USA: Puerto Rico	1994	2008	11060	Dengue virus
KY586733	Thailand	2000	2017	12637	Dengue virus
FJ850076	Brazil: Northern	2002	2009	11060	Dengue virus
GU131857	Brazil: Sao Paulo	2006	2009	11069	Dengue virus
KY586445	Thailand	2006	2017	12637	Dengue virus
FJ744735	Thailand: Kampheange Phet	2001	2009	11069	Dengue virus
KX380809	Singapore	2012	2016	11060	Dengue virus
KY586343	Thailand	2006	2017	12637	Dengue virus
MW946072	Thailand	2004	2021	11053	Dengue virus
KJ622192	China	2013	2015	11069	Dengue virus
KX059029	Sri Lanka	2012	2017	12637	Dengue virus
EU482478	Viet Nam: south	2007	2008	11053	Dengue virus
MW946143	Thailand	2006	2021	11053	Dengue virus
FJ639743	Venezuela: Aragua	1999	2009	11053	Dengue virus
EU482584	USA: Puerto Rico	1989	2008	11060	Dengue virus
FJ639671	Cambodia: KCH	2001	2009	11053	Dengue virus
FJ810411	Thailand: Kampheange Phet	2001	2009	11060	Dengue virus
HM582116	Tonga	1974	2010	11060	Dengue virus
KU509270	None	2012	2017	11060	Dengue virus
KJ189304	Colombia	2005	2014	11053	Dengue virus
MW945945	Thailand	2014	2021	11053	Dengue virus
GU131772	Viet Nam: South	2008	2009	11053	Dengue virus
FJ850079	Brazil: Northern	2003	2009	11069	Dengue virus
KM279552	Singapore	2012	2015	11060	Dengue virus
EU081269	Singapore	2005	2007	11053	Dengue virus
KY849721	Laos: Salavan	2010	2018	11053	Dengue virus
KC762655	Indonesia: Makassar	2007	2015	11060	Dengue virus
EF629366	Brazil	None	2007	11069	Dengue virus
FJ478457	USA: Puerto Rico	1996	2008	11053	Dengue virus
GU131768	Viet Nam: South	2008	2009	11053	Dengue virus
