family	genus	species	taxid	segment	num_seqs	result_type	cluster	timestamp	last_changed_timestamp	num_input_seqs	num_curated_seqs	num_clusters	rss	elapsed_time	mean_cluster_cost	mean_cluster_target_len	mean_cluster_num_primers5	mean_cluster_num_primers3	mean_cluster_num_guides
Herpesviridae	Simplexvirus	Human alphaherpesvirus 2	10310	None	45	taxon	NA	1573981047	1573981047	63	45	1	542932.0	3709.01	2.5126942636811997	88	1	1	1
Herpesviridae	Varicellovirus	Bovine alphaherpesvirus 1	10320	None	49	taxon	NA	1573981083	1573981083	49	49	1	528168.0	3141.70	2.5126942636811997	88	1	1	1
Herpesviridae	Simplexvirus	Macacine alphaherpesvirus 1	10325	None	17	taxon	NA	1573981057	1573981057	20	17	1	533840.0	3327.51	2.5126942636811997	88	1	1	1
Herpesviridae	Varicellovirus	Equid alphaherpesvirus 1	10326	None	37	taxon	NA	1573981099	1573981099	37	37	1	534768.0	3601.62	2.5126942636811997	88	1	1	1
Herpesviridae	Varicellovirus	Equid alphaherpesvirus 4	10331	None	23	taxon	NA	1573981118	1573981118	23	23	1	539332.0	5158.27	2.5126942636811997	88	1	1	1
Herpesviridae	Varicellovirus	Felid alphaherpesvirus 1	10334	None	53	taxon	NA	1573981209	1573981209	53	53	1	543692.0	6353.34	2.5126942636811997	88	1	1	1
Herpesviridae	Varicellovirus	Human alphaherpesvirus 3	10335	None	192	taxon	NA	1573981299	1573981299	192	192	1	568264.0	8140.80	2.5126942636811997	88	1	1	1
Herpesviridae	Varicellovirus	Suid alphaherpesvirus 1	10345	None	28	taxon	NA	1573981461	1573981461	30	28	1	527504.0	2479.29	2.5126942636811997	88	1	1	1
Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5	10359	None	294	taxon	NA	1573980607	1573980607	309	294	1	816068.0	10957.38	2.5126942636811997	88	1	1	1
Herpesviridae	Muromegalovirus	Murid betaherpesvirus 1	10366	None	17	taxon	NA	1573980863	1573980863	18	17	1	624888.0	7624.35	2.5126942636811997	88	1	1	1
Herpesviridae	Lymphocryptovirus	Human gammaherpesvirus 4	10376	None	503	taxon	NA	1573980699	1573980699	643	503	1	837264.0	10043.38	2.5126942636811997	88	1	1	1
Herpesviridae	Iltovirus	Gallid alphaherpesvirus 1	10386	None	41	taxon	NA	1573980692	1573980692	42	41	1	545908.0	4917.85	2.5126942636811997	88	1	1	1
Herpesviridae	Mardivirus	Gallid alphaherpesvirus 2	10390	None	31	taxon	NA	1573980742	1573980742	32	31	1	570644.0	4720.35	2.5126942636811997	88	1	1	1
Hepadnaviridae	Orthohepadnavirus	Hepatitis B virus	10407	None	9432	taxon	NA	1573980488	1573980488	9930	9432	1	2164104.0	29183.00	2.8516681611474057	117	1	1	2
Dicistroviridae	unknown	Big Sioux River virus	1041883	None	10	taxon	NA	1573973402	1573973402	10	10	1	502196.0	452.97	2.5126942636811997	88	1	1	1
Baculoviridae	Alphabaculovirus	Lymantria dispar multiple nucleopolyhedrovirus	10449	None	13	taxon	NA	1573970365	1573970365	16	13	1	548460.0	3383.39	2.5126942636811997	88	1	1	1
Luteoviridae	Polerovirus	Brassica yellows virus	1046403	None	18	taxon	NA	1573983307	1573983307	18	18	1	501116.0	424.41	2.5126942636811997	88	1	1	1
Alphasatellitidae	Colecusatellite	Cotton leaf curl Multan alphasatellite	1048668	None	126	taxon	NA	1573969404	1573969404	126	126	1	500328.0	703.22	2.6860342433258255	94	1	1	2
Iridoviridae	Ranavirus	Frog virus 3	10493	None	12	taxon	NA	1573982406	1573982406	17	12	1	515168.0	1663.40	2.5126942636811997	88	1	1	1
Asfarviridae	Asfivirus	African swine fever virus	10497	None	38	taxon	NA	1573970164	1573970164	38	38	1	603028.0	4184.38	2.5126942636811997	88	1	1	1
Betaflexiviridae	Trichovirus	Grapevine Pinot gris virus	1051792	None	16	taxon	NA	1573970992	1573970992	16	16	1	500192.0	641.71	2.5126942636811997	88	1	1	1
Papillomaviridae	Xipapillomavirus	Xipapillomavirus 1	10561	None	13	taxon	NA	1573990745	1573990745	13	13	1	501500.0	359.35	3.0870729313414405	102	1	1	5
Papillomaviridae	unknown	Human papillomavirus	10566	None	3	taxon	NA	1573990774	1573990774	15	3	1	503496.0	280.09	2.6564224201679636	91	1	1	2
Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 12	10570	None	14	taxon	NA	1573988293	1573988293	14	14	1	502244.0	827.87	3.803188527362399	109	1	2	5
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	None	121	taxon	NA	1573971973	1573971973	121	121	1	503140.0	1244.88	2.5126942636811997	88	1	1	1
Caulimoviridae	Tungrovirus	Rice tungro bacilliform virus	10654	None	14	taxon	NA	1573972046	1573972046	14	14	1	503400.0	403.40	2.5126942636811997	88	1	1	1
Picornaviridae	Enterovirus	Enterovirus G	106966	None	74	taxon	NA	1573997652	1573997652	74	74	1	626508.0	2105.91	5.024114134296109	129	3	2	3
Geminiviridae	Mastrevirus	Paspalum striate mosaic virus	1072672	None	18	taxon	NA	1573979465	1573979465	18	18	1	501316.0	188.86	2.5126942636811997	88	1	1	1
Adenoviridae	Mastadenovirus	Human mastadenovirus B	108098	None	240	taxon	NA	1573969403	1573969403	240	240	1	522644.0	1975.55	2.5126942636811997	88	1	1	1
Geminiviridae	Begomovirus	African cassava mosaic virus	10817	DNA A	313	taxon	NA	1573975555	1573975555	314	313	1	502760.0	2068.84	2.5126942636811997	88	1	1	1
Geminiviridae	Mastrevirus	Chloris striate mosaic virus	10820	None	13	taxon	NA	1573979374	1573979374	13	13	1	504416.0	199.16	2.5126942636811997	88	1	1	1
Geminiviridae	Mastrevirus	Maize streak virus	10821	None	893	taxon	NA	1573979400	1573979400	893	893	1	816032.0	13256.43	2.6237942636811997	88	1	1	2
Geminiviridae	Mastrevirus	Panicum streak virus	10826	None	43	taxon	NA	1573979459	1573979459	43	43	1	501396.0	385.24	2.5126942636811997	88	1	1	1
Geminiviridae	Begomovirus	Squash leaf curl virus	10829	DNA A	172	taxon	NA	1573978019	1573978019	172	172	1	502068.0	707.83	2.5126942636811997	88	1	1	1
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	DNA A	870	taxon	NA	1573979067	1573979067	871	870	1	508108.0	5024.54	2.5126942636811997	88	1	1	1
Geminiviridae	Mastrevirus	Wheat dwarf virus	10834	None	315	taxon	NA	1573979584	1573979584	315	315	1	499992.0	2349.25	2.6237942636811997	88	1	1	2
Geminiviridae	Begomovirus	Bean golden mosaic virus	10839	DNA A	158	taxon	NA	1573975768	1573975768	158	158	1	500480.0	1367.21	2.5126942636811997	88	1	1	1
Geminiviridae	Curtovirus	Beet curly top virus	10840	None	111	taxon	NA	1573979223	1573979223	111	111	1	505032.0	597.48	2.565364373321448	93	1	1	1
Reoviridae	Fijivirus	Rice black streaked dwarf virus	10990	10	240	taxon	NA	1574006490	1574006490	240	240	1	501272.0	1720.79	2.5126942636811997	88	1	1	1
Birnaviridae	Avibirnavirus	Infectious bursal disease virus	10995	A	141	taxon	NA	1573971144	1573971144	142	141	1	502524.0	2731.22	2.5126942636811997	88	1	1	1
Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	11002	B	142	taxon	NA	1573971058	1573971058	143	142	1	500032.0	1020.49	2.6860342433258255	94	1	1	2
Togaviridae	Alphavirus	Eastern equine encephalitis virus	11021	None	453	taxon	NA	1574024618	1574024618	454	453	1	512904.0	4131.33	2.5126942636811997	88	1	1	1
Togaviridae	Alphavirus	Highlands J virus	11024	None	10	taxon	NA	1574025066	1574025066	10	10	1	504164.0	498.28	2.5126942636811997	88	1	1	1
Togaviridae	Alphavirus	Ross River virus	11029	None	17	taxon	NA	1574025566	1574025566	17	17	1	502448.0	533.07	2.5126942636811997	88	1	1	1
Togaviridae	Alphavirus	Semliki Forest virus	11033	None	12	taxon	NA	1574025774	1574025774	12	12	1	504500.0	503.01	2.5126942636811997	88	1	1	1
Togaviridae	Alphavirus	Sindbis virus	11034	None	191	taxon	NA	1574025776	1574025776	191	191	1	507256.0	1157.32	2.5126942636811997	88	1	1	1
Togaviridae	Alphavirus	Venezuelan equine encephalitis virus	11036	None	139	taxon	NA	1574025881	1574025881	139	139	1	504492.0	1597.22	2.6237942636811997	88	1	1	2
Togaviridae	Alphavirus	Western equine encephalitis virus	11039	None	47	taxon	NA	1574025923	1574025923	47	47	1	504780.0	295.89	2.5126942636811997	88	1	1	1
Matonaviridae	Rubivirus	Rubella virus	11041	None	81	taxon	NA	1573984071	1573984071	81	81	1	504372.0	1289.04	2.5126942636811997	88	1	1	1
Astroviridae	Mamastrovirus	Porcine astrovirus 2	1105378	None	19	taxon	NA	1573970197	1573970197	19	19	1	501760.0	1195.83	3.1793942636811994	88	2	1	1
Astroviridae	Mamastrovirus	Porcine astrovirus 4	1105379	None	26	taxon	NA	1573970236	1573970236	26	26	1	502084.0	1141.89	2.5126942636811997	88	1	1	1
unknown	Posavirus	Posavirus 1	1105380	None	15	taxon	NA	1574028848	1574028848	15	15	1	499592.0	852.30	2.5126942636811997	88	1	1	1
Flaviviridae	Flavivirus	Japanese encephalitis virus	11072	None	341	taxon	NA	1573973920	1573973920	342	341	1	514416.0	1846.10	2.5126942636811997	88	1	1	1
Flaviviridae	Flavivirus	Murray Valley encephalitis virus	11079	None	17	taxon	NA	1573973935	1573973935	17	17	1	502396.0	758.00	2.6237942636811997	88	1	1	2
Flaviviridae	Flavivirus	Saint Louis encephalitis virus	11080	None	18	taxon	NA	1573973991	1573973991	18	18	1	503744.0	527.02	2.5126942636811997	88	1	1	1
Flaviviridae	Flavivirus	West Nile virus	11082	None	1816	taxon	NA	1573974255	1573974255	1816	1816	1	545508.0	8540.64	2.5126942636811997	88	1	1	1
Flaviviridae	Flavivirus	Powassan virus	11083	None	26	taxon	NA	1573973989	1573973989	26	26	1	499956.0	302.92	2.5126942636811997	88	1	1	1
Flaviviridae	Flavivirus	Tick-borne encephalitis virus	11084	None	187	taxon	NA	1573974131	1573974131	187	187	1	509592.0	3844.68	2.7675224201679636	91	1	1	3
Flaviviridae	Flavivirus	Yellow fever virus	11089	None	177	taxon	NA	1573974294	1573974294	177	177	1	534184.0	2796.39	2.9999	92	1	1	5
Flaviviridae	Hepacivirus	Hepacivirus C	11103	None	2203	taxon	NA	1573974455	1573974455	2203	2203	1	1380304.0	90375.57	6.037657335320482	96	3	2	14
Coronaviridae	Alphacoronavirus	Human coronavirus 229E	11137	None	62	taxon	NA	1573972845	1573972845	62	62	1	505928.0	1607.79	2.5126942636811997	88	1	1	1
Paramyxoviridae	Avulavirus	Avian avulavirus 1	11176	None	804	taxon	NA	1573990838	1573990838	804	804	1	2345036.0	24810.25	3.4425897580044538	105	1	2	2
Paramyxoviridae	Respirovirus	Murine respirovirus	11191	None	23	taxon	NA	1573991774	1573991774	23	23	1	504636.0	358.25	2.5126942636811997	88	1	1	1
Paramyxoviridae	Respirovirus	Bovine respirovirus 3	11215	None	29	taxon	NA	1573991567	1573991567	29	29	1	505952.0	563.50	2.5555	92	1	1	1
Paramyxoviridae	Respirovirus	Human respirovirus 3	11216	None	382	taxon	NA	1573991674	1573991674	383	382	1	515384.0	2342.00	2.5126942636811997	88	1	1	1
Alphaflexiviridae	Potexvirus	Pepino mosaic virus	112229	None	63	taxon	NA	1573969403	1573969403	63	63	1	503372.0	1188.05	2.5126942636811997	88	1	1	1
Paramyxoviridae	Morbillivirus	Canine morbillivirus	11232	None	120	taxon	NA	1573991264	1573991264	120	120	1	506556.0	2430.08	2.5126942636811997	88	1	1	1
Paramyxoviridae	Morbillivirus	Measles morbillivirus	11234	None	181	taxon	NA	1573991374	1573991374	181	181	1	509284.0	2621.86	2.5126942636811997	88	1	1	1
Paramyxoviridae	Morbillivirus	Rinderpest morbillivirus	11241	None	10	taxon	NA	1573991497	1573991497	10	10	1	503732.0	275.20	2.5126942636811997	88	1	1	1
Pneumoviridae	Orthopneumovirus	Human orthopneumovirus	11250	None	1588	taxon	NA	1573999553	1573999553	1588	1588	1	784344.0	14695.61	2.5126942636811997	88	1	1	1
Parvoviridae	Protoparvovirus	Porcine parvovirus 2	1126383	None	14	taxon	NA	1573993673	1573993673	14	14	1	503148.0	486.64	2.5126942636811997	88	1	1	1
Filoviridae	Marburgvirus	Marburg marburgvirus	11269	None	82	taxon	NA	1573973625	1573973625	83	82	1	507544.0	481.90	2.5126942636811997	88	1	1	1
Hepadnaviridae	Avihepadnavirus	Parrot hepatitis B virus	1128118	None	18	taxon	NA	1573980479	1573980479	18	18	1	501400.0	203.94	2.5126942636811997	88	1	1	1
Geminiviridae	Begomovirus	Macroptilium yellow spot virus	1129034	DNA A	105	taxon	NA	1573976937	1573976937	105	105	1	501880.0	879.52	2.5126942636811997	88	1	1	1
Geminiviridae	Begomovirus	Macroptilium yellow vein virus	1129035	DNA A	19	taxon	NA	1573977029	1573977029	19	19	1	499668.0	251.93	2.7300163730311917	99	1	1	2
Rhabdoviridae	Lyssavirus	Rabies lyssavirus	11292	None	1712	taxon	NA	1574022107	1574022107	1712	1712	1	7901848.0	92520.13	3.713140537842752	97	1	2	5
Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	11320	5	52163	taxon	NA	1574458048	1574458048	52164	52163	1	22189640.0	105116.05	3.301648055426138	101	2	1	1
unknown	unknown	New World begomovirus associated satellite DNA	1149866	None	22	taxon	NA	1574029229	1574029229	22	22	1	500368.0	85.08	3.7726515990016813	186	2	1	2
Orthomyxoviridae	Betainfluenzavirus	Influenza B virus	11520	1	8548	taxon	NA	1573985916	1573985916	8633	8548	1	963472.0	19493.58	2.5126942636811997	88	1	1	1
Orthomyxoviridae	Gammainfluenzavirus	Influenza C virus	11552	3	114	taxon	NA	1574305147	1574305147	114	114	1	588536.0	491.68	2.5126942636811997	88	1	1	1
Reoviridae	Orthoreovirus	Piscine orthoreovirus	1157337	L1	17	taxon	NA	1574016483	1574016483	17	17	1	500452.0	188.25	2.5126942636811997	88	1	1	1
Astroviridae	Mamastrovirus	Canine astrovirus	1157338	None	11	taxon	NA	1573970177	1573970177	11	11	1	500304.0	1949.42	2.5126942636811997	88	1	1	1
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	11620	L	219	taxon	NA	1573969820	1573969820	234	219	1	590260.0	5036.32	5.584243040981689	159	3	2	7
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	11623	L	4	taxon	NA	1573969861	1573969861	33	4	1	502352.0	189.30	2.5126942636811997	88	1	1	1
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	11628	L	16	taxon	NA	1573969919	1573969919	17	16	1	501856.0	356.60	2.5126942636811997	88	1	1	1
Retroviridae	Gammaretrovirus	Reticuloendotheliosis virus	11636	None	20	taxon	NA	1574021293	1574021293	20	20	1	504712.0	333.09	2.5126942636811997	88	1	1	1
Retroviridae	Spumavirus	Simian foamy virus	11642	None	10	taxon	NA	1574021628	1574021628	11	10	1	501840.0	415.70	2.6237942636811997	88	1	1	2
Parvoviridae	Bocaparvovirus	Porcine bocavirus	1165907	None	13	taxon	NA	1573992678	1573992678	31	13	1	501884.0	710.78	2.6237942636811997	88	1	1	2
Adenoviridae	Mastadenovirus	Simian adenovirus B	1165908	None	12	taxon	NA	1573969404	1573969404	12	12	1	503188.0	383.63	2.5126942636811997	88	1	1	1
Retroviridae	Lentivirus	Caprine arthritis encephalitis virus	11660	None	43	taxon	NA	1574021423	1574021423	43	43	1	503756.0	1093.82	5.362026686365171	130	1	4	6
Retroviridae	Lentivirus	Equine infectious anemia virus	11665	None	31	taxon	NA	1574021436	1574021436	31	31	1	707800.0	886.89	2.6237942636811997	88	1	1	2
Retroviridae	Lentivirus	Feline immunodeficiency virus	11673	None	14	taxon	NA	1574021496	1574021496	28	14	1	503812.0	550.27	2.8786224201679635	91	1	1	4
Retroviridae	Lentivirus	Human immunodeficiency virus 1	11676	None	3599	taxon	NA	1574021542	1574021542	3599	3599	1	4805996.0	48749.49	4.832789493487165	136	3	1	7
Paramyxoviridae	Morbillivirus	Feline morbillivirus	1170234	None	14	taxon	NA	1573991302	1573991302	14	14	1	502568.0	504.33	2.5126942636811997	88	1	1	1
unknown	Negevirus	Piura virus	1170425	None	43	taxon	NA	1574028772	1574028772	43	43	1	503608.0	311.25	2.5126942636811997	88	1	1	1
Retroviridae	Lentivirus	Human immunodeficiency virus 2	11709	None	71	taxon	NA	1574021551	1574021551	71	71	1	504924.0	1192.25	3.5126942636811993	88	2	1	4
Retroviridae	Lentivirus	Simian immunodeficiency virus	11723	None	114	taxon	NA	1574021567	1574021567	549	114	1	939476.0	4376.39	5.845200082244952	139	2	3	10
Tolecusatellitidae	Betasatellite	Ageratum leaf curl betasatellite	1175505	None	11	taxon	NA	1574026101	1574026101	11	11	1	498400.0	130.07	2.5126942636811997	88	1	1	1
Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 7	1175849	None	16	taxon	NA	1573990269	1573990269	16	16	1	502076.0	765.93	4.610589493487165	98	1	3	7
Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 8	1175850	None	11	taxon	NA	1573990549	1573990549	11	11	1	501720.0	1065.10	5.423811090344213	90	3	3	3
Tolecusatellitidae	Betasatellite	Tomato leaf curl Yemen betasatellite	1176156	None	15	taxon	NA	1574027031	1574027031	15	15	1	499232.0	72.28	2.5126942636811997	88	1	1	1
Retroviridae	Gammaretrovirus	Feline leukemia virus	11768	None	16	taxon	NA	1574021113	1574021113	16	16	1	503228.0	178.19	2.5126942636811997	88	1	1	1
Retroviridae	Gammaretrovirus	Murine leukemia virus	11786	None	59	taxon	NA	1574021224	1574021224	60	59	1	504344.0	1402.07	2.6350433771173467	89	1	1	2
Picornaviridae	Teschovirus	Teschovirus A	118140	None	93	taxon	NA	1573999243	1573999243	93	93	1	503572.0	2868.33	2.645911090344213	90	1	1	2
Retroviridae	Betaretrovirus	Mason-Pfizer monkey virus	11855	None	10	taxon	NA	1574020528	1574020528	10	10	1	502464.0	224.99	2.7613160284948064	103	1	1	2
Retroviridae	Alpharetrovirus	Avian leukosis virus	11864	None	120	taxon	NA	1574020357	1574020357	125	120	1	580844.0	883.80	2.5126942636811997	88	1	1	1
Picobirnaviridae	Picobirnavirus	Otarine picobirnavirus	1187973	2	13	taxon	NA	1573996677	1573996677	13	13	1	502656.0	388.78	4.670088504066714	243	2	2	3
Retroviridae	Deltaretrovirus	Bovine leukemia virus	11901	None	84	taxon	NA	1574020754	1574020754	84	84	1	504672.0	681.00	2.5126942636811997	88	1	1	1
Circoviridae	Circovirus	Canine circovirus	1194757	None	83	taxon	NA	1573972101	1573972101	83	83	1	501284.0	1299.95	2.9683433771173466	118	1	1	3
Caliciviridae	Lagovirus	Rabbit hemorrhagic disease virus	11976	None	84	taxon	NA	1573971805	1573971805	84	84	1	504792.0	1192.88	2.8064266863651715	95	1	1	3
Caliciviridae	Vesivirus	Feline calicivirus	11978	None	45	taxon	NA	1573971849	1573971849	45	45	1	499968.0	1546.48	4.0681942636812	172	1	2	5
Caliciviridae	Norovirus	Norwalk virus	11983	None	1365	taxon	NA	1574529138	1574529138	1368	1365	1	6312752.0	31527.22	12.185368161147403	288	6	9	4
Tombusviridae	Gammacarmovirus	Melon necrotic spot virus	11987	None	32	taxon	NA	1574027242	1574027242	32	32	1	502068.0	776.44	2.9948515990016813	123	1	1	3
Geminiviridae	Begomovirus	Bhendi yellow vein mosaic virus	120168	DNA A	76	taxon	NA	1573975802	1573975802	76	76	1	500756.0	632.08	2.6237942636811997	88	1	1	2
Geminiviridae	unknown	Citrus chlorotic dwarf associated virus	1202142	None	12	taxon	NA	1573979656	1573979656	12	12	1	501372.0	163.48	2.5126942636811997	88	1	1	1
Luteoviridae	Polerovirus	Beet western yellows virus	12042	None	20	taxon	NA	1573983244	1573983244	20	20	1	502440.0	618.15	2.5126942636811997	88	1	1	1
Luteoviridae	Polerovirus	Potato leafroll virus	12045	None	33	taxon	NA	1573983824	1573983824	33	33	1	502524.0	805.98	2.5126942636811997	88	1	1	1
Luteoviridae	Luteovirus	Soybean dwarf virus	12049	None	23	taxon	NA	1573983158	1573983158	23	23	1	502908.0	664.66	2.5126942636811997	88	1	1	1
Picornaviridae	Enterovirus	Enterovirus E	12064	None	15	taxon	NA	1573997340	1573997340	15	15	1	501472.0	482.45	2.5126942636811997	88	1	1	1
Polyomaviridae	Deltapolyomavirus	Human polyomavirus 10	1208309	None	20	taxon	NA	1574000664	1574000664	20	20	1	500008.0	488.91	2.5126942636811997	88	1	1	1
Picornaviridae	Hepatovirus	Hepatovirus A	12092	None	126	taxon	NA	1573997966	1573997966	126	126	1	505724.0	615.55	3.7999006335339796	157	2	1	3
Picornaviridae	Aphthovirus	Foot-and-mouth disease virus	12110	None	797	taxon	NA	1573996736	1573996736	797	797	1	2202672.0	28657.53	2.8940354666358683	106	1	1	3
Tombusviridae	Machlomovirus	Maize chlorotic mottle virus	12138	None	81	taxon	NA	1574027291	1574027291	81	81	1	501200.0	706.11	2.5126942636811997	88	1	1	1
Alphaflexiviridae	Mandarivirus	Citrus yellow vein clearing virus	1214459	None	36	taxon	NA	1573969403	1573969403	36	36	1	500272.0	966.83	2.5126942636811997	88	1	1	1
Tymoviridae	Tymovirus	Turnip yellow mosaic virus	12154	None	14	taxon	NA	1574027695	1574027695	14	14	1	502560.0	489.78	2.5126942636811997	88	1	1	1
Closteroviridae	Closterovirus	Citrus tristeza virus	12162	None	76	taxon	NA	1573972436	1573972436	76	76	1	506128.0	1551.28	2.5126942636811997	88	1	1	1
Betaflexiviridae	Carlavirus	Potato virus M	12167	None	15	taxon	NA	1573970593	1573970593	15	15	1	501468.0	512.16	2.7300163730311917	99	1	1	2
Betaflexiviridae	Carlavirus	Potato virus S	12169	None	56	taxon	NA	1573970602	1573970602	56	56	1	503564.0	1348.00	2.6237942636811997	88	1	1	2
Betaflexiviridae	Carlavirus	Lily symptomless virus	12173	None	11	taxon	NA	1573970580	1573970580	11	11	1	500988.0	338.52	2.5126942636811997	88	1	1	1
Betaflexiviridae	Trichovirus	Apple chlorotic leaf spot virus	12175	None	34	taxon	NA	1573970920	1573970920	34	34	1	503016.0	1246.85	2.6237942636811997	88	1	1	2
Alphaflexiviridae	Potexvirus	Cymbidium mosaic virus	12178	None	15	taxon	NA	1573969403	1573969403	15	15	1	500472.0	354.95	2.5126942636811997	88	1	1	1
Paramyxoviridae	Henipavirus	Nipah henipavirus	121791	None	29	taxon	NA	1573991106	1573991106	29	29	1	503192.0	455.82	2.5126942636811997	88	1	1	1
Alphaflexiviridae	Potexvirus	Potato virus X	12183	None	44	taxon	NA	1573969404	1573969404	44	44	1	502760.0	1271.02	3.041340417140111	163	1	1	2
Potyviridae	Potyvirus	Bean common mosaic virus	12196	None	74	taxon	NA	1574001548	1574001548	74	74	1	503276.0	3576.13	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Bean yellow mosaic virus	12197	None	46	taxon	NA	1574001612	1574001612	46	46	1	972552.0	3181.76	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Lettuce mosaic virus	12202	None	31	taxon	NA	1574001847	1574001847	31	31	1	502704.0	1393.55	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Papaya ringspot virus	12205	None	67	taxon	NA	1574001994	1574001994	67	67	1	708832.0	2848.84	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Pepper mottle virus	12209	None	21	taxon	NA	1574002113	1574002113	21	21	1	502648.0	533.08	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Plum pox virus	12211	None	268	taxon	NA	1574002448	1574002448	268	268	1	509376.0	8582.57	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Potato virus A	12215	None	12	taxon	NA	1574002451	1574002451	12	12	1	504008.0	458.11	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Potato virus Y	12216	None	430	taxon	NA	1574002492	1574002492	430	430	1	1053648.0	29123.77	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Soybean mosaic virus	12222	None	109	taxon	NA	1574002648	1574002648	109	109	1	940296.0	2253.22	4.068294263681199	88	2	2	3
Potyviridae	Potyvirus	Sugarcane mosaic virus	12224	None	118	taxon	NA	1574002911	1574002911	118	118	1	502884.0	5686.55	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Tobacco etch virus	12227	None	12	taxon	NA	1574003548	1574003548	12	12	1	502772.0	654.08	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Turnip mosaic virus	12230	None	501	taxon	NA	1574003886	1574003886	501	501	1	988948.0	10535.91	2.5126942636811997	88	1	1	1
Potyviridae	Potyvirus	Zucchini yellow mosaic virus	12232	None	85	taxon	NA	1574004453	1574004453	85	85	1	506168.0	1044.12	2.5126942636811997	88	1	1	1
Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus	12235	None	111	taxon	NA	1574028187	1574028187	111	111	1	503496.0	1329.32	2.5126942636811997	88	1	1	1
Virgaviridae	Tobamovirus	Odontoglossum ringspot virus	12238	None	10	taxon	NA	1574028215	1574028215	10	10	1	503820.0	329.91	2.5126942636811997	88	1	1	1
Virgaviridae	Tobamovirus	Pepper mild mottle virus	12239	None	28	taxon	NA	1574028238	1574028238	28	28	1	500664.0	439.10	2.5126942636811997	88	1	1	1
Virgaviridae	Tobamovirus	Tobacco mosaic virus	12242	None	85	taxon	NA	1574028336	1574028336	85	85	1	498688.0	510.81	2.5126942636811997	88	1	1	1
