accession	country	year	entry_create_year	taxid
MG812672	Liberia: Nimba	2017	2019	11620
KM821970	Nigeria	2012	2014	11620
GU481071	Nigeria: Plateau State	2008	2011	11620
MG812660	Liberia: Nimba	2013	2019	11620
KM821881	Sierra Leone	2013	2014	11620
KM822015	Nigeria	2008	2014	11620
JN650518	Sierra Leone: Songo Hospital, Sebgwema	1976	2012	11620
MN275172	Sierra Leone	2012	2019	11620
MH215280	Liberia: Nimba	2018	2019	11620
MH215284	Liberia: Monsterrado	2018	2019	11620
KM821803	Sierra Leone	2011	2014	11620
KM822070	Nigeria	2009	2014	11620
KM821966	Nigeria	2012	2014	11620
MG812674	Nigeria	1976	2019	11620
KM821993	Nigeria	2012	2014	11620
KM821780	Sierra Leone	2009	2014	11620
KM822119	Sierra Leone	2012	2014	11620
KM821901	Sierra Leone	2013	2014	11620
MG812654	Liberia: Bong	2011	2019	11620
KM822079	Nigeria	2009	2014	11620
KM822087	Nigeria	2009	2014	11620
KM822044	Nigeria	2011	2014	11620
KM821772	Sierra Leone	2009	2014	11620
MG812680	Nigeria	1974	2019	11620
KM822112	Sierra Leone	2010	2014	11620
MG812682	Sierra Leone	1980	2019	11620
KM821983	Nigeria	2012	2014	11620
KM822021	Nigeria	2010	2014	11620
KM821807	Sierra Leone	2011	2014	11620
KM821870	Sierra Leone	2012	2014	11620
KM821981	Nigeria	2012	2014	11620
KM821805	Sierra Leone	2011	2014	11620
KM822046	Nigeria	2011	2014	11620
KM821923	Nigeria	2011	2014	11620
KM821978	Nigeria	2012	2014	11620
KM822106	Nigeria	2009	2014	11620
GU481075	Nigeria: Edo State	2008	2011	11620
KM821827	Sierra Leone	2011	2014	11620
KM821973	Nigeria	2012	2014	11620
MF990887	Togo	2016	2018	11620
HQ688675	None	None	2011	11620
MH053525	Nigeria	2016	2018	11620
HQ688674	None	None	2011	11620
KM821875	Sierra Leone	2012	2014	11620
KM822081	Nigeria	2009	2014	11620
KM821940	Nigeria	2012	2014	11620
KM821956	Nigeria	2012	2014	11620
MH215282	Liberia: Nimba	2018	2019	11620
KM821903	Sierra Leone	2013	2014	11620
MG812634	Nigeria	1981	2019	11620
KM822009	Nigeria	2009	2014	11620
MG812649	Liberia	1972	2019	11620
KM821849	Sierra Leone	2012	2014	11620
MH053520	Nigeria	2016	2018	11620
KM821932	Nigeria	2011	2014	11620
KM821855	Sierra Leone	2012	2014	11620
KM821821	Sierra Leone	2011	2014	11620
KM821995	Nigeria	2012	2014	11620
MG812659	Liberia	2014	2019	11620
KM821883	Sierra Leone	2013	2014	11620
KM821936	Nigeria	2011	2014	11620
KM821930	Nigeria	2011	2014	11620
MG812664	Liberia: Nimba	2016	2019	11620
MH053521	Nigeria	2016	2018	11620
MG812671	Liberia: Nimba	2017	2019	11620
KM821776	Sierra Leone	2009	2014	11620
KM822064	Nigeria	2009	2014	11620
KU961972	Togo	2016	2016	11620
KM821797	Liberia	2010	2014	11620
KM821813	Sierra Leone	2011	2014	11620
KM822073	Nigeria	2009	2014	11620
MH215278	Liberia: Bong	2018	2019	11620
KM822092	Nigeria	2009	2014	11620
KM821915	Nigeria	2011	2014	11620
KM821793	Sierra Leone	2010	2014	11620
U73034	None	None	1998	11620
KM822096	Nigeria	2009	2014	11620
KU978812	Nigeria	1989	2017	11620
KM821946	Nigeria	2012	2014	11620
KM822100	Nigeria	2009	2014	11620
KM821834	Sierra Leone	2012	2014	11620
KM822003	Nigeria	2009	2014	11620
KM821926	Nigeria	2011	2014	11620
KM822108	Nigeria	2009	2014	11620
KM821962	Nigeria	2012	2014	11620
KM822024	Nigeria	2010	2014	11620
KM822050	Nigeria	2011	2014	11620
GU481069	Nigeria: Ebonyi State	2008	2011	11620
MG812666	Liberia: Nimba	2017	2019	11620
KM821989	Nigeria	2012	2014	11620
KM821774	Sierra Leone	2009	2014	11620
AY628202	None	None	2004	11620
MH053499	Nigeria	2016	2018	11620
KM822017	Nigeria	2008	2014	11620
MG812651	Liberia	2015	2019	11620
KM821831	Sierra Leone	2011	2014	11620
MH215286	Liberia: Monsterrado	2018	2019	11620
KM821919	Nigeria	2011	2014	11620
GU481077	Nigeria: Edo State	2008	2011	11620
KM821866	Sierra Leone	2012	2014	11620
MH053571	Nigeria	2016	2018	11620
MH053469	Nigeria	2016	2018	11620
MH157042	Nigeria	2018	2018	11620
KM821950	Nigeria	2012	2014	11620
KM822032	Nigeria	2011	2014	11620
KM821975	Nigeria	2012	2014	11620
KM821991	Nigeria	2012	2014	11620
KM822075	Nigeria	2009	2014	11620
AY179172	None	None	2003	11620
MH053539	Nigeria	2016	2018	11620
KM821842	Sierra Leone	2012	2014	11620
MG812684	Guinea	1996	2019	11620
MH157049	Nigeria	2018	2018	11620
KM822026	Nigeria	2010	2014	11620
KM822042	Nigeria	2010	2014	11620
KM821942	Nigeria	2011	2014	11620
